country,year,technology,capacity_gw
BE,2014,Nuclear,5.94
BE,2015,Nuclear,5.94
BE,2016,Nuclear,5.94
BE,2017,Nuclear,5.94
BE,2018,Nuclear,5.94
BE,2019,Nuclear,5.94
BE,2020,Nuclear,5.94
BE,2021,Nuclear,5.94
BE,2022,Nuclear,4.94
BE,2023,Nuclear,3.93
BE,2024,Nuclear,3.93
BE,2025,Nuclear,2.06
BE,2014,Biomass,0.57
BE,2015,Biomass,0.59
BE,2016,Biomass,0.6
BE,2017,Biomass,0.6
BE,2018,Biomass,0.62
BE,2019,Biomass,0.65
BE,2020,Biomass,0.67
BE,2021,Biomass,0.7
BE,2022,Biomass,0.73
BE,2023,Biomass,0.73
BE,2024,Biomass,0.73
BE,2025,Biomass,0.85
BE,2014,Fossil oil,0.23
BE,2015,Fossil oil,0.21
BE,2016,Fossil oil,0.22
BE,2017,Fossil oil,0.24
BE,2018,Fossil oil,0.24
BE,2019,Fossil oil,0.25
BE,2020,Fossil oil,0.28
BE,2021,Fossil oil,0.4
BE,2022,Fossil oil,0.45
BE,2023,Fossil oil,0.45
BE,2024,Fossil oil,0.59
BE,2025,Fossil oil,0.48
BE,2014,Fossil gas,6.75
BE,2015,Fossil gas,6.43
BE,2016,Fossil gas,6.46
BE,2017,Fossil gas,6.53
BE,2018,Fossil gas,6.64
BE,2019,Fossil gas,6.8
BE,2020,Fossil gas,7.28
BE,2021,Fossil gas,6.82
BE,2022,Fossil gas,6.99
BE,2023,Fossil gas,6.99
BE,2024,Fossil gas,8.03
BE,2025,Fossil gas,8.4
BE,2014,Hydro pumped storage,1.31
BE,2015,Hydro pumped storage,1.31
BE,2016,Hydro pumped storage,1.31
BE,2017,Hydro pumped storage,1.31
BE,2018,Hydro pumped storage,1.31
BE,2019,Hydro pumped storage,1.31
BE,2020,Hydro pumped storage,1.31
BE,2021,Hydro pumped storage,1.31
BE,2022,Hydro pumped storage,1.31
BE,2023,Hydro pumped storage,1.31
BE,2024,Hydro pumped storage,1.31
BE,2025,Hydro pumped storage,1.31
BE,2018,Others,0.02
BE,2019,Others,0.02
BE,2020,Others,0.02
BE,2021,Others,0.02
BE,2022,Others,0.03
BE,2023,Others,0.03
BE,2024,Others,0.33
BE,2025,Others,0.69
BE,2014,Waste,0.36
BE,2015,Waste,0.36
BE,2016,Waste,0.36
BE,2017,Waste,0.36
BE,2018,Waste,0.36
BE,2019,Waste,0.36
BE,2020,Waste,0.36
BE,2021,Waste,0.38
BE,2022,Waste,0.38
BE,2023,Waste,0.38
BE,2024,Waste,0.33
BE,2025,Waste,0.39
BE,2014,Wind offshore,0.71
BE,2015,Wind offshore,0.71
BE,2016,Wind offshore,0.88
BE,2017,Wind offshore,1.18
BE,2018,Wind offshore,1.55
BE,2019,Wind offshore,2.25
BE,2020,Wind offshore,2.25
BE,2021,Wind offshore,2.25
BE,2022,Wind offshore,2.26
BE,2023,Wind offshore,2.26
BE,2024,Wind offshore,2.26
BE,2025,Wind offshore,2.26
BE,2014,Wind onshore,1.25
BE,2015,Wind onshore,1.25
BE,2016,Wind onshore,1.74
BE,2017,Wind onshore,1.98
BE,2018,Wind onshore,2.25
BE,2019,Wind onshore,2.42
BE,2020,Wind onshore,2.63
BE,2021,Wind onshore,2.79
BE,2022,Wind onshore,3.05
BE,2023,Wind onshore,3.05
BE,2024,Wind onshore,3.18
BE,2025,Wind onshore,3.59
BE,2014,Solar AC,2.82
BE,2015,Solar AC,2.95
BE,2016,Solar AC,2.95
BE,2017,Solar AC,2.95
BE,2018,Solar AC,3.37
BE,2019,Solar AC,3.89
BE,2020,Solar AC,4.79
BE,2021,Solar AC,4.79
BE,2022,Solar AC,6.47
BE,2023,Solar AC,8.79
BE,2024,Solar AC,10.7
BE,2025,Solar AC,11.68
