country,year,technology,capacity_gw
BG,2014,Nuclear,2.0
BG,2015,Nuclear,2.0
BG,2016,Nuclear,2.0
BG,2017,Nuclear,2.0
BG,2018,Nuclear,2.0
BG,2019,Nuclear,2.0
BG,2020,Nuclear,2.0
BG,2021,Nuclear,2.08
BG,2022,Nuclear,2.08
BG,2023,Nuclear,2.08
BG,2024,Nuclear,2.0
BG,2025,Nuclear,2.0
BG,2014,Biomass,0.02
BG,2015,Biomass,0.05
BG,2016,Biomass,0.07
BG,2017,Biomass,0.07
BG,2018,Biomass,0.07
BG,2019,Biomass,0.07
BG,2020,Biomass,0.08
BG,2021,Biomass,0.07
BG,2022,Biomass,0.07
BG,2023,Biomass,0.07
BG,2024,Biomass,0.06
BG,2025,Biomass,0.06
BG,2014,Fossil brown coal / lignite,5.65
BG,2015,Fossil brown coal / lignite,4.88
BG,2016,Fossil brown coal / lignite,4.12
BG,2017,Fossil brown coal / lignite,4.12
BG,2018,Fossil brown coal / lignite,4.12
BG,2019,Fossil brown coal / lignite,4.12
BG,2020,Fossil brown coal / lignite,4.12
BG,2021,Fossil brown coal / lignite,4.12
BG,2022,Fossil brown coal / lignite,4.12
BG,2023,Fossil brown coal / lignite,4.12
BG,2024,Fossil brown coal / lignite,4.12
BG,2025,Fossil brown coal / lignite,4.12
BG,2021,Fossil coal-derived gas,0.0
BG,2022,Fossil coal-derived gas,0.0
BG,2023,Fossil coal-derived gas,0.0
BG,2024,Fossil coal-derived gas,0.0
BG,2025,Fossil coal-derived gas,0.0
BG,2016,Fossil hard coal,0.36
BG,2017,Fossil hard coal,0.36
BG,2018,Fossil hard coal,0.36
BG,2019,Fossil hard coal,0.36
BG,2020,Fossil hard coal,0.36
BG,2021,Fossil hard coal,0.36
BG,2022,Fossil hard coal,0.36
BG,2023,Fossil hard coal,0.36
BG,2024,Fossil hard coal,0.34
BG,2025,Fossil hard coal,0.33
BG,2021,Fossil oil,0.0
BG,2022,Fossil oil,0.0
BG,2023,Fossil oil,0.0
BG,2024,Fossil oil,0.0
BG,2025,Fossil oil,0.0
BG,2021,Fossil oil shale,0.0
BG,2022,Fossil oil shale,0.0
BG,2023,Fossil oil shale,0.0
BG,2024,Fossil oil shale,0.0
BG,2025,Fossil oil shale,0.0
BG,2021,Fossil peat,0.0
BG,2022,Fossil peat,0.0
BG,2023,Fossil peat,0.0
BG,2024,Fossil peat,0.0
BG,2025,Fossil peat,0.0
BG,2014,Fossil gas,0.02
BG,2015,Fossil gas,0.72
BG,2016,Fossil gas,0.56
BG,2017,Fossil gas,0.98
BG,2018,Fossil gas,1.23
BG,2019,Fossil gas,1.23
BG,2020,Fossil gas,1.27
