country,year,technology,capacity_gw
CZ,2014,Nuclear,4.04
CZ,2015,Nuclear,4.04
CZ,2016,Nuclear,4.04
CZ,2017,Nuclear,4.04
CZ,2018,Nuclear,4.04
CZ,2019,Nuclear,4.04
CZ,2020,Nuclear,4.04
CZ,2021,Nuclear,4.04
CZ,2022,Nuclear,4.04
CZ,2023,Nuclear,4.04
CZ,2024,Nuclear,4.04
CZ,2025,Nuclear,4.04
CZ,2014,Biomass,0.0
CZ,2015,Biomass,0.35
CZ,2016,Biomass,0.35
CZ,2017,Biomass,0.35
CZ,2018,Biomass,0.4
CZ,2019,Biomass,0.41
CZ,2020,Biomass,0.41
CZ,2021,Biomass,0.41
CZ,2022,Biomass,0.41
CZ,2023,Biomass,0.41
CZ,2024,Biomass,0.41
CZ,2025,Biomass,0.41
CZ,2014,Fossil brown coal / lignite,8.5
CZ,2015,Fossil brown coal / lignite,8.33
CZ,2016,Fossil brown coal / lignite,7.93
CZ,2017,Fossil brown coal / lignite,8.54
CZ,2018,Fossil brown coal / lignite,8.45
CZ,2019,Fossil brown coal / lignite,8.15
CZ,2020,Fossil brown coal / lignite,7.7
CZ,2021,Fossil brown coal / lignite,7.25
CZ,2022,Fossil brown coal / lignite,7.16
CZ,2023,Fossil brown coal / lignite,7.2
CZ,2024,Fossil brown coal / lignite,7.24
CZ,2025,Fossil brown coal / lignite,7.04
CZ,2014,Fossil coal-derived gas,0.38
CZ,2015,Fossil coal-derived gas,0.38
CZ,2016,Fossil coal-derived gas,0.38
CZ,2017,Fossil coal-derived gas,0.38
CZ,2018,Fossil coal-derived gas,0.38
CZ,2019,Fossil coal-derived gas,0.38
CZ,2020,Fossil coal-derived gas,0.38
CZ,2021,Fossil coal-derived gas,0.38
CZ,2022,Fossil coal-derived gas,0.38
CZ,2023,Fossil coal-derived gas,0.38
CZ,2024,Fossil coal-derived gas,0.38
CZ,2025,Fossil coal-derived gas,0.38
CZ,2014,Fossil hard coal,0.9
CZ,2015,Fossil hard coal,1.2
CZ,2016,Fossil hard coal,1.2
CZ,2017,Fossil hard coal,1.2
CZ,2018,Fossil hard coal,1.2
CZ,2019,Fossil hard coal,1.2
CZ,2020,Fossil hard coal,1.2
CZ,2021,Fossil hard coal,1.2
CZ,2022,Fossil hard coal,1.2
CZ,2023,Fossil hard coal,1.2
CZ,2024,Fossil hard coal,1.2
CZ,2025,Fossil hard coal,0.6
CZ,2014,Fossil oil,0.0
CZ,2015,Fossil oil,0.0
CZ,2016,Fossil oil,0.0
CZ,2017,Fossil oil,0.0
CZ,2018,Fossil oil,0.0
CZ,2019,Fossil oil,0.0
CZ,2020,Fossil oil,0.0
CZ,2021,Fossil oil,0.0
CZ,2022,Fossil oil,0.0
CZ,2023,Fossil oil,0.0
CZ,2024,Fossil oil,0.0
CZ,2025,Fossil oil,0.0
CZ,2014,Fossil gas,1.72
CZ,2015,Fossil gas,1.23
CZ,2016,Fossil gas,1.23
CZ,2017,Fossil gas,1.23
CZ,2018,Fossil gas,1.23
CZ,2019,Fossil gas,1.23
CZ,2020,Fossil gas,1.23
CZ,2021,Fossil gas,1.24
CZ,2022,Fossil gas,1.24
CZ,2023,Fossil gas,1.24
CZ,2024,Fossil gas,1.24
CZ,2025,Fossil gas,1.44
CZ,2014,Hydro water reservoir,0.65
CZ,2015,Hydro water reservoir,0.65
CZ,2016,Hydro water reservoir,0.75
CZ,2017,Hydro water reservoir,0.75
CZ,2018,Hydro water reservoir,0.75
CZ,2019,Hydro water reservoir,0.75
CZ,2020,Hydro water reservoir,0.75
CZ,2021,Hydro water reservoir,0.75
CZ,2022,Hydro water reservoir,0.77
CZ,2023,Hydro water reservoir,0.77
CZ,2024,Hydro water reservoir,0.77
CZ,2025,Hydro water reservoir,0.77
CZ,2014,Hydro pumped storage,1.18
CZ,2015,Hydro pumped storage,1.17
CZ,2016,Hydro pumped storage,1.17
CZ,2017,Hydro pumped storage,1.17
CZ,2018,Hydro pumped storage,1.17
CZ,2019,Hydro pumped storage,1.17
CZ,2020,Hydro pumped storage,1.17
CZ,2021,Hydro pumped storage,1.17
CZ,2022,Hydro pumped storage,1.17
CZ,2023,Hydro pumped storage,1.17
CZ,2024,Hydro pumped storage,1.17
CZ,2025,Hydro pumped storage,1.17
CZ,2014,Others,0.6
CZ,2015,Others,0.0
CZ,2016,Others,0.0
CZ,2017,Others,0.0
CZ,2018,Others,0.0
CZ,2019,Others,0.0
CZ,2020,Others,0.0
CZ,2021,Others,0.0
CZ,2022,Others,0.0
CZ,2023,Others,0.0
CZ,2024,Others,0.0
CZ,2025,Others,0.0
CZ,2014,Other renewables,0.0
CZ,2015,Other renewables,0.5
CZ,2016,Other renewables,0.4
CZ,2017,Other renewables,0.4
CZ,2018,Other renewables,0.4
CZ,2019,Other renewables,0.41
CZ,2020,Other renewables,0.41
CZ,2021,Other renewables,0.41
CZ,2022,Other renewables,0.41
CZ,2023,Other renewables,0.46
CZ,2024,Other renewables,0.46
CZ,2025,Other renewables,0.46
CZ,2014,Waste,0.0
CZ,2015,Waste,0.0
CZ,2016,Waste,0.1
CZ,2017,Waste,0.1
CZ,2018,Waste,0.1
CZ,2019,Waste,0.1
CZ,2020,Waste,0.1
CZ,2021,Waste,0.1
CZ,2022,Waste,0.1
CZ,2023,Waste,0.1
CZ,2024,Waste,0.1
CZ,2025,Waste,0.1
CZ,2014,Wind onshore,0.27
CZ,2015,Wind onshore,0.28
CZ,2016,Wind onshore,0.28
CZ,2017,Wind onshore,0.31
CZ,2018,Wind onshore,0.32
CZ,2019,Wind onshore,0.34
CZ,2020,Wind onshore,0.34
CZ,2021,Wind onshore,0.34
CZ,2022,Wind onshore,0.34
CZ,2023,Wind onshore,0.34
CZ,2024,Wind onshore,0.37
CZ,2025,Wind onshore,0.38
CZ,2014,Solar AC,2.05
CZ,2015,Solar AC,2.07
CZ,2016,Solar AC,2.03
CZ,2017,Solar AC,2.04
CZ,2018,Solar AC,2.05
CZ,2019,Solar AC,2.06
CZ,2020,Solar AC,2.05
CZ,2021,Solar AC,2.05
CZ,2022,Solar AC,2.08
CZ,2023,Solar AC,3.55
CZ,2024,Solar AC,4.42
CZ,2025,Solar AC,5.33
