country,year,technology,capacity_gw
DE,2002,Nuclear,23.6
DE,2003,Nuclear,22.101
DE,2004,Nuclear,21.459
DE,2005,Nuclear,21.392
DE,2006,Nuclear,21.214
DE,2007,Nuclear,21.32
DE,2008,Nuclear,21.587
DE,2009,Nuclear,21.507
DE,2010,Nuclear,21.507
DE,2011,Nuclear,12.068
DE,2012,Nuclear,12.068
DE,2013,Nuclear,12.068
DE,2014,Nuclear,12.068
DE,2015,Nuclear,10.8
DE,2016,Nuclear,10.8
DE,2017,Nuclear,10.8
DE,2018,Nuclear,9.516
DE,2019,Nuclear,9.516
DE,2020,Nuclear,8.114
DE,2021,Nuclear,8.114
DE,2022,Nuclear,4.056
DE,2023,Nuclear,0.0
DE,2024,Nuclear,0.0
DE,2025,Nuclear,0.0
DE,2026,Nuclear,0.0
DE,2002,Fossil brown coal / lignite,20.304
DE,2003,Fossil brown coal / lignite,20.899
DE,2004,Fossil brown coal / lignite,20.8
DE,2005,Fossil brown coal / lignite,20.642
DE,2006,Fossil brown coal / lignite,20.51
DE,2007,Fossil brown coal / lignite,21.163
DE,2008,Fossil brown coal / lignite,21.019
DE,2009,Fossil brown coal / lignite,21.095
DE,2010,Fossil brown coal / lignite,21.317
DE,2011,Fossil brown coal / lignite,19.847
DE,2012,Fossil brown coal / lignite,21.016
DE,2013,Fossil brown coal / lignite,20.956
DE,2014,Fossil brown coal / lignite,20.818
DE,2015,Fossil brown coal / lignite,21.419
DE,2016,Fossil brown coal / lignite,21.273
DE,2017,Fossil brown coal / lignite,20.859
DE,2018,Fossil brown coal / lignite,20.903
DE,2019,Fossil brown coal / lignite,20.903
DE,2020,Fossil brown coal / lignite,20.857
DE,2021,Fossil brown coal / lignite,19.812
DE,2022,Fossil brown coal / lignite,18.574
DE,2023,Fossil brown coal / lignite,18.254
DE,2024,Fossil brown coal / lignite,15.079
DE,2025,Fossil brown coal / lignite,14.758
DE,2026,Fossil brown coal / lignite,14.758
DE,2002,Fossil hard coal,28.294
DE,2003,Fossil hard coal,28.624
DE,2004,Fossil hard coal,30.396
DE,2005,Fossil hard coal,27.639
DE,2006,Fossil hard coal,26.959
DE,2007,Fossil hard coal,27.504
DE,2008,Fossil hard coal,27.869
DE,2009,Fossil hard coal,27.289
DE,2010,Fossil hard coal,28.35
DE,2011,Fossil hard coal,25.724
DE,2012,Fossil hard coal,25.177
DE,2013,Fossil hard coal,25.964
DE,2014,Fossil hard coal,26.21
DE,2015,Fossil hard coal,28.654
DE,2016,Fossil hard coal,27.435
DE,2017,Fossil hard coal,24.042
DE,2018,Fossil hard coal,23.816
DE,2019,Fossil hard coal,22.67
DE,2020,Fossil hard coal,23.742
DE,2021,Fossil hard coal,19.105
DE,2022,Fossil hard coal,18.672
DE,2023,Fossil hard coal,18.417
DE,2024,Fossil hard coal,15.552
DE,2025,Fossil hard coal,15.386
DE,2026,Fossil hard coal,15.386
DE,2002,Fossil gas,20.3
DE,2003,Fossil gas,19.534
DE,2004,Fossil gas,19.384
DE,2005,Fossil gas,20.622
DE,2006,Fossil gas,21.202
DE,2007,Fossil gas,21.303
DE,2008,Fossil gas,22.756
DE,2009,Fossil gas,23.147
DE,2010,Fossil gas,23.758
DE,2011,Fossil gas,27.249
DE,2012,Fossil gas,27.378
DE,2013,Fossil gas,28.389
DE,2014,Fossil gas,29.019
DE,2015,Fossil gas,28.359
DE,2016,Fossil gas,29.449
DE,2017,Fossil gas,29.762
DE,2018,Fossil gas,30.13
DE,2019,Fossil gas,30.072
DE,2020,Fossil gas,32.536
DE,2021,Fossil gas,32.128
DE,2022,Fossil gas,35.112
DE,2023,Fossil gas,35.687
DE,2024,Fossil gas,35.601
DE,2025,Fossil gas,35.311
DE,2026,Fossil gas,35.311
DE,2002,Fossil oil,5.3
DE,2003,Fossil oil,5.056
DE,2004,Fossil oil,5.635
DE,2005,Fossil oil,5.457
DE,2006,Fossil oil,5.491
DE,2007,Fossil oil,5.448
DE,2008,Fossil oil,5.351
DE,2009,Fossil oil,5.154
DE,2010,Fossil oil,5.857
DE,2011,Fossil oil,4.166
DE,2012,Fossil oil,4.136
DE,2013,Fossil oil,4.136
DE,2014,Fossil oil,4.236
DE,2015,Fossil oil,4.196
DE,2016,Fossil oil,4.593
DE,2017,Fossil oil,4.416
DE,2018,Fossil oil,4.375
DE,2019,Fossil oil,4.375
DE,2020,Fossil oil,4.857
DE,2021,Fossil oil,5.094
DE,2022,Fossil oil,5.102
DE,2023,Fossil oil,4.49
DE,2024,Fossil oil,3.811
DE,2025,Fossil oil,3.811
DE,2026,Fossil oil,3.811
DE,2011,"Other, non-renewable",3.207
DE,2012,"Other, non-renewable",3.207
DE,2013,"Other, non-renewable",3.103
DE,2014,"Other, non-renewable",3.155
DE,2015,"Other, non-renewable",3.16
DE,2016,"Other, non-renewable",3.261
DE,2017,"Other, non-renewable",3.261
DE,2018,"Other, non-renewable",3.304
DE,2019,"Other, non-renewable",3.322
DE,2020,"Other, non-renewable",2.974
DE,2021,"Other, non-renewable",2.914
DE,2022,"Other, non-renewable",3.2
DE,2023,"Other, non-renewable",2.377
DE,2024,"Other, non-renewable",2.328
DE,2025,"Other, non-renewable",2.291
DE,2026,"Other, non-renewable",2.291
DE,2002,Hydro,4.937
DE,2003,Hydro,4.953
DE,2004,Hydro,5.186
