country,year,technology,capacity_gw
ES,2014,Nuclear,7.57
ES,2015,Nuclear,7.57
ES,2016,Nuclear,7.57
ES,2017,Nuclear,7.12
ES,2018,Nuclear,7.12
ES,2019,Nuclear,7.12
ES,2020,Nuclear,7.12
ES,2021,Nuclear,7.12
ES,2022,Nuclear,7.12
ES,2023,Nuclear,7.12
ES,2024,Nuclear,7.12
ES,2025,Nuclear,7.12
ES,2014,Biomass,0.67
ES,2015,Biomass,0.7
ES,2016,Biomass,0.54
ES,2017,Biomass,0.52
ES,2018,Biomass,0.51
ES,2019,Biomass,0.55
ES,2020,Biomass,0.7
ES,2021,Biomass,0.7
ES,2022,Biomass,0.71
ES,2023,Biomass,0.71
ES,2024,Biomass,0.71
ES,2025,Biomass,0.75
ES,2014,Fossil brown coal / lignite,1.2
ES,2015,Fossil brown coal / lignite,1.06
ES,2016,Fossil brown coal / lignite,0.0
ES,2017,Fossil brown coal / lignite,0.0
ES,2018,Fossil brown coal / lignite,0.0
ES,2019,Fossil brown coal / lignite,0.0
ES,2020,Fossil brown coal / lignite,0.0
ES,2021,Fossil brown coal / lignite,0.0
ES,2022,Fossil brown coal / lignite,0.0
ES,2023,Fossil brown coal / lignite,0.0
ES,2024,Fossil brown coal / lignite,0.0
ES,2025,Fossil brown coal / lignite,0.0
ES,2014,Fossil coal-derived gas,0.0
ES,2015,Fossil coal-derived gas,0.0
ES,2016,Fossil coal-derived gas,0.0
ES,2017,Fossil coal-derived gas,0.0
ES,2018,Fossil coal-derived gas,0.0
ES,2019,Fossil coal-derived gas,0.0
ES,2020,Fossil coal-derived gas,0.0
ES,2021,Fossil coal-derived gas,0.0
ES,2022,Fossil coal-derived gas,0.0
ES,2023,Fossil coal-derived gas,0.0
ES,2024,Fossil coal-derived gas,0.0
ES,2025,Fossil coal-derived gas,0.0
ES,2014,Fossil hard coal,9.41
ES,2015,Fossil hard coal,9.41
ES,2016,Fossil hard coal,9.53
ES,2017,Fossil hard coal,9.53
ES,2018,Fossil hard coal,9.56
ES,2019,Fossil hard coal,9.21
ES,2020,Fossil hard coal,5.98
ES,2021,Fossil hard coal,4.64
ES,2022,Fossil hard coal,3.22
ES,2023,Fossil hard coal,3.22
ES,2024,Fossil hard coal,1.82
ES,2025,Fossil hard coal,1.26
ES,2014,Fossil oil,0.65
ES,2015,Fossil oil,0.68
ES,2016,Fossil oil,0.72
ES,2017,Fossil oil,0.72
ES,2018,Fossil oil,0.71
ES,2019,Fossil oil,0.71
ES,2020,Fossil oil,0.68
ES,2021,Fossil oil,0.67
ES,2022,Fossil oil,0.67
ES,2023,Fossil oil,0.7
ES,2024,Fossil oil,0.67
ES,2025,Fossil oil,0.73
ES,2014,Fossil oil shale,0.0
ES,2015,Fossil oil shale,0.0
ES,2016,Fossil oil shale,0.0
ES,2017,Fossil oil shale,0.0
ES,2018,Fossil oil shale,0.0
ES,2019,Fossil oil shale,0.0
ES,2020,Fossil oil shale,0.0
ES,2021,Fossil oil shale,0.0
ES,2022,Fossil oil shale,0.0
ES,2023,Fossil oil shale,0.0
ES,2024,Fossil oil shale,0.0
ES,2025,Fossil oil shale,0.0
ES,2014,Fossil peat,0.0
ES,2015,Fossil peat,0.0
ES,2016,Fossil peat,0.0
ES,2017,Fossil peat,0.0
ES,2018,Fossil peat,0.0
ES,2019,Fossil peat,0.0
ES,2020,Fossil peat,0.0
ES,2021,Fossil peat,0.0
ES,2022,Fossil peat,0.0
ES,2023,Fossil peat,0.0
ES,2024,Fossil peat,0.0
ES,2025,Fossil peat,0.0
ES,2014,Fossil gas,30.43
ES,2015,Fossil gas,30.3
ES,2016,Fossil gas,30.72
ES,2017,Fossil gas,30.68
ES,2018,Fossil gas,30.27
ES,2019,Fossil gas,30.01
ES,2020,Fossil gas,29.97
ES,2021,Fossil gas,29.93
ES,2022,Fossil gas,29.9
ES,2023,Fossil gas,29.87
ES,2024,Fossil gas,29.94
ES,2025,Fossil gas,29.92
ES,2014,Geothermal,0.0
ES,2015,Geothermal,0.0
ES,2016,Geothermal,0.0
ES,2017,Geothermal,0.0
ES,2018,Geothermal,0.0
ES,2019,Geothermal,0.0
ES,2020,Geothermal,0.0
ES,2021,Geothermal,0.0
ES,2022,Geothermal,0.0
ES,2023,Geothermal,0.0
ES,2024,Geothermal,0.0
ES,2025,Geothermal,0.0
ES,2014,Hydro water reservoir,18.19
ES,2015,Hydro water reservoir,19.08
ES,2016,Hydro water reservoir,19.11
ES,2017,Hydro water reservoir,19.12
ES,2018,Hydro water reservoir,19.15
ES,2019,Hydro water reservoir,19.14
ES,2020,Hydro water reservoir,19.19
ES,2021,Hydro water reservoir,19.19
ES,2022,Hydro water reservoir,15.77
ES,2023,Hydro water reservoir,15.77
ES,2024,Hydro water reservoir,15.76
ES,2025,Hydro water reservoir,14.26
ES,2014,Hydro pumped storage,4.83
ES,2015,Hydro pumped storage,5.59
ES,2016,Hydro pumped storage,5.65
ES,2017,Hydro pumped storage,5.65
ES,2018,Hydro pumped storage,5.65
ES,2019,Hydro pumped storage,5.65
ES,2020,Hydro pumped storage,5.65
ES,2021,Hydro pumped storage,5.7
ES,2022,Hydro pumped storage,3.42
ES,2023,Hydro pumped storage,3.42
ES,2024,Hydro pumped storage,3.42
ES,2025,Hydro pumped storage,3.42
ES,2014,Marine,0.0
ES,2015,Marine,0.0
ES,2016,Marine,0.0
ES,2017,Marine,0.0
ES,2018,Marine,0.0
ES,2019,Marine,0.0
ES,2020,Marine,0.0
ES,2021,Marine,0.0
ES,2022,Marine,0.0
ES,2023,Marine,0.0
ES,2024,Marine,0.0
ES,2025,Marine,0.0
ES,2014,Others,0.09
ES,2015,Others,0.1
ES,2016,Others,0.11
ES,2017,Others,0.12
ES,2018,Others,0.12
ES,2019,Others,0.12
ES,2020,Others,0.12
ES,2021,Others,0.12
ES,2022,Others,0.12
ES,2023,Others,0.12
ES,2024,Others,0.13
ES,2025,Others,0.14
ES,2014,Other renewables,0.14
ES,2015,Other renewables,0.16
ES,2016,Other renewables,0.25
ES,2017,Other renewables,0.26
ES,2018,Other renewables,0.26
ES,2019,Other renewables,0.27
ES,2020,Other renewables,0.27
ES,2021,Other renewables,0.27
ES,2022,Other renewables,0.28
ES,2023,Other renewables,0.29
ES,2024,Other renewables,0.62
ES,2025,Other renewables,0.79
ES,2014,Waste,0.27
ES,2015,Waste,0.38
ES,2016,Waste,0.54
ES,2017,Waste,0.54
ES,2018,Waste,0.54
ES,2019,Waste,0.54
ES,2020,Waste,0.54
ES,2021,Waste,0.57
ES,2022,Waste,0.55
ES,2023,Waste,0.55
ES,2024,Waste,0.55
ES,2025,Waste,0.55
ES,2014,Wind offshore,0.0
ES,2015,Wind offshore,0.0
ES,2016,Wind offshore,0.0
ES,2017,Wind offshore,0.0
ES,2018,Wind offshore,0.0
ES,2019,Wind offshore,0.0
ES,2020,Wind offshore,0.0
ES,2021,Wind offshore,0.0
ES,2022,Wind offshore,0.0
ES,2023,Wind offshore,0.0
ES,2024,Wind offshore,0.0
ES,2025,Wind offshore,0.0
ES,2014,Wind onshore,22.74
ES,2015,Wind onshore,22.77
ES,2016,Wind onshore,22.81
ES,2017,Wind onshore,22.83
ES,2018,Wind onshore,22.96
ES,2019,Wind onshore,24.45
ES,2020,Wind onshore,26.66
ES,2021,Wind onshore,27.73
ES,2022,Wind onshore,29.32
ES,2023,Wind onshore,30.16
ES,2024,Wind onshore,30.93
ES,2025,Wind onshore,32.45
ES,2014,Solar AC,6.54
ES,2015,Solar AC,6.5
ES,2016,Solar AC,6.72
ES,2017,Solar AC,6.72
ES,2018,Solar AC,6.75
ES,2019,Solar AC,8.47
ES,2020,Solar AC,11.39
ES,2021,Solar AC,14.64
ES,2022,Solar AC,18.52
ES,2023,Solar AC,23.87
ES,2024,Solar AC,29.05
ES,2025,Solar AC,41.43
