country,year,technology,capacity_gw
FI,2014,Nuclear,2.75
FI,2015,Nuclear,2.78
FI,2016,Nuclear,2.78
FI,2017,Nuclear,2.78
FI,2018,Nuclear,2.78
FI,2019,Nuclear,2.79
FI,2020,Nuclear,2.79
FI,2021,Nuclear,2.79
FI,2022,Nuclear,2.79
FI,2023,Nuclear,4.36
FI,2024,Nuclear,4.36
FI,2025,Nuclear,4.37
FI,2014,Biomass,2.05
FI,2015,Biomass,1.53
FI,2016,Biomass,1.66
FI,2017,Biomass,1.81
FI,2018,Biomass,1.8
FI,2019,Biomass,1.86
FI,2020,Biomass,1.86
FI,2021,Biomass,1.9
FI,2022,Biomass,1.83
FI,2023,Biomass,1.7
FI,2024,Biomass,1.94
FI,2025,Biomass,1.95
FI,2014,Fossil hard coal,2.79
FI,2015,Fossil hard coal,3.42
FI,2016,Fossil hard coal,2.85
FI,2017,Fossil hard coal,2.28
FI,2018,Fossil hard coal,2.28
FI,2019,Fossil hard coal,2.16
FI,2020,Fossil hard coal,1.68
FI,2021,Fossil hard coal,1.68
FI,2022,Fossil hard coal,1.56
FI,2023,Fossil hard coal,1.41
FI,2024,Fossil hard coal,1.32
FI,2025,Fossil hard coal,1.08
FI,2014,Fossil oil,1.7
FI,2015,Fossil oil,0.89
FI,2016,Fossil oil,1.43
FI,2017,Fossil oil,1.39
FI,2018,Fossil oil,1.43
FI,2019,Fossil oil,1.3
FI,2020,Fossil oil,1.09
FI,2021,Fossil oil,1.05
FI,2022,Fossil oil,1.05
FI,2023,Fossil oil,1.05
FI,2024,Fossil oil,1.05
FI,2025,Fossil oil,1.05
FI,2014,Fossil peat,1.68
FI,2015,Fossil peat,1.02
FI,2016,Fossil peat,1.08
FI,2017,Fossil peat,1.14
FI,2018,Fossil peat,1.14
FI,2019,Fossil peat,1.14
FI,2020,Fossil peat,1.14
FI,2021,Fossil peat,1.12
FI,2022,Fossil peat,1.05
FI,2023,Fossil peat,1.04
FI,2024,Fossil peat,0.85
FI,2025,Fossil peat,0.85
FI,2014,Fossil gas,1.61
FI,2015,Fossil gas,0.48
FI,2016,Fossil gas,1.8
FI,2017,Fossil gas,1.86
FI,2018,Fossil gas,1.91
FI,2019,Fossil gas,1.85
FI,2020,Fossil gas,1.85
FI,2021,Fossil gas,1.94
FI,2022,Fossil gas,1.78
FI,2023,Fossil gas,1.74
FI,2024,Fossil gas,1.74
FI,2025,Fossil gas,1.82
FI,2014,Others,0.04
FI,2015,Others,1.3
FI,2016,Others,0.56
FI,2017,Others,0.36
FI,2018,Others,0.33
FI,2019,Others,0.44
FI,2020,Others,0.44
FI,2021,Others,0.46
FI,2022,Others,0.44
FI,2023,Others,0.45
FI,2024,Others,0.39
FI,2025,Others,0.39
FI,2014,Other renewables,0.02
FI,2015,Other renewables,0.08
FI,2016,Other renewables,0.08
FI,2017,Other renewables,0.26
FI,2018,Other renewables,0.26
FI,2019,Other renewables,0.27
FI,2020,Other renewables,0.27
FI,2021,Other renewables,0.32
FI,2022,Other renewables,0.39
FI,2023,Other renewables,0.39
FI,2024,Other renewables,0.36
FI,2025,Other renewables,0.36
FI,2014,Waste,0.07
FI,2015,Waste,0.05
FI,2016,Waste,0.13
FI,2017,Waste,0.16
FI,2018,Waste,0.16
FI,2019,Waste,0.16
FI,2020,Waste,0.16
FI,2021,Waste,0.11
FI,2022,Waste,0.11
FI,2023,Waste,0.09
FI,2024,Waste,0.09
FI,2025,Waste,0.1
FI,2014,Wind onshore,0.5
FI,2015,Wind onshore,1.08
FI,2016,Wind onshore,1.43
FI,2017,Wind onshore,1.91
FI,2018,Wind onshore,2.01
FI,2019,Wind onshore,2.14
FI,2020,Wind onshore,2.42
FI,2021,Wind onshore,3.18
FI,2022,Wind onshore,5.12
FI,2023,Wind onshore,6.62
FI,2024,Wind onshore,8.22
FI,2025,Wind onshore,9.33
FI,2018,Solar AC,0.0
FI,2019,Solar AC,0.01
FI,2020,Solar AC,0.01
FI,2021,Solar AC,0.01
FI,2022,Solar AC,0.02
FI,2023,Solar AC,0.03
FI,2024,Solar AC,0.05
FI,2025,Solar AC,1.51
