country,year,technology,capacity_gw
GB,2014,Nuclear,8.98
GB,2015,Nuclear,8.98
GB,2016,Nuclear,8.98
GB,2017,Nuclear,8.97
GB,2018,Nuclear,9.23
GB,2019,Nuclear,8.21
GB,2020,Nuclear,8.26
GB,2014,Biomass,2.12
GB,2015,Biomass,1.89
GB,2016,Biomass,2.12
GB,2017,Biomass,2.1
GB,2018,Biomass,4.06
GB,2019,Biomass,4.24
GB,2020,Biomass,4.53
GB,2014,Fossil hard coal,16.24
GB,2015,Fossil hard coal,15.36
GB,2016,Fossil hard coal,11.1
GB,2017,Fossil hard coal,10.91
GB,2018,Fossil hard coal,8.28
GB,2019,Fossil hard coal,7.29
GB,2020,Fossil hard coal,5.76
GB,2014,Fossil oil,0.25
GB,2015,Fossil oil,1.11
GB,2016,Fossil oil,1.08
GB,2017,Fossil oil,0.32
GB,2018,Fossil oil,0.32
GB,2019,Fossil oil,0.32
GB,2020,Fossil oil,0.0
GB,2014,Fossil gas,28.75
GB,2015,Fossil gas,27.24
GB,2016,Fossil gas,29.24
GB,2017,Fossil gas,28.76
GB,2018,Fossil gas,36.15
GB,2019,Fossil gas,39.82
GB,2020,Fossil gas,39.82
GB,2014,Hydro pumped storage,2.74
GB,2015,Hydro pumped storage,2.74
GB,2016,Hydro pumped storage,2.74
GB,2017,Hydro pumped storage,2.74
GB,2018,Hydro pumped storage,2.74
GB,2019,Hydro pumped storage,4.05
GB,2020,Hydro pumped storage,4.31
GB,2014,Others,5.05
GB,2015,Others,4.62
GB,2016,Others,6.22
GB,2017,Others,8.47
GB,2018,Others,4.51
GB,2019,Others,4.07
GB,2020,Others,2.81
GB,2014,Other renewables,1.57
GB,2015,Other renewables,1.82
GB,2016,Other renewables,2.1
GB,2017,Other renewables,3.13
GB,2018,Other renewables,1.87
GB,2019,Other renewables,2.25
GB,2020,Other renewables,1.9
GB,2014,Wind offshore,5.04
GB,2015,Wind offshore,5.01
GB,2016,Wind offshore,5.47
GB,2017,Wind offshore,6.07
GB,2018,Wind offshore,9.38
GB,2019,Wind offshore,10.36
GB,2020,Wind offshore,12.16
GB,2014,Wind onshore,7.86
GB,2015,Wind onshore,9.14
GB,2016,Wind onshore,10.15
GB,2017,Wind onshore,12.14
GB,2018,Wind onshore,13.63
GB,2019,Wind onshore,13.83
GB,2020,Wind onshore,13.93
GB,2014,Solar AC,1.74
GB,2015,Solar AC,3.95
GB,2016,Solar AC,8.57
GB,2017,Solar AC,12.56
GB,2018,Solar AC,13.35
GB,2019,Solar AC,13.37
GB,2020,Solar AC,13.47
