country,year,technology,capacity_gw
LV,2014,Biomass,0.08
LV,2015,Biomass,0.1
LV,2016,Biomass,0.11
LV,2017,Biomass,0.1
LV,2018,Biomass,0.13
LV,2019,Biomass,0.14
LV,2020,Biomass,0.15
LV,2021,Biomass,0.16
LV,2022,Biomass,0.18
LV,2023,Biomass,0.17
LV,2024,Biomass,0.17
LV,2025,Biomass,0.15
LV,2014,Fossil gas,1.14
LV,2015,Fossil gas,1.1
LV,2016,Fossil gas,1.12
LV,2017,Fossil gas,1.12
LV,2018,Fossil gas,1.11
LV,2019,Fossil gas,1.03
LV,2020,Fossil gas,1.02
LV,2021,Fossil gas,1.16
LV,2022,Fossil gas,1.16
LV,2023,Fossil gas,1.11
LV,2024,Fossil gas,1.11
LV,2025,Fossil gas,1.15
LV,2014,Hydro water reservoir,0.0
LV,2014,Wind onshore,0.05
LV,2015,Wind onshore,0.05
LV,2016,Wind onshore,0.05
LV,2017,Wind onshore,0.05
LV,2018,Wind onshore,0.06
LV,2019,Wind onshore,0.07
LV,2020,Wind onshore,0.08
LV,2021,Wind onshore,0.09
LV,2022,Wind onshore,0.16
LV,2023,Wind onshore,0.14
LV,2024,Wind onshore,0.14
LV,2025,Wind onshore,0.14
LV,2018,Solar AC,0.01
LV,2019,Solar AC,0.01
LV,2020,Solar AC,0.01
LV,2021,Solar AC,0.01
LV,2022,Solar AC,0.06
LV,2023,Solar AC,0.3
LV,2024,Solar AC,0.45
LV,2025,Solar AC,1.14
