country,year,technology,capacity_gw
MK,2021,Biomass,0.01
MK,2022,Biomass,0.01
MK,2023,Biomass,0.01
MK,2024,Biomass,0.01
MK,2025,Biomass,0.01
MK,2015,Fossil brown coal / lignite,0.82
MK,2016,Fossil brown coal / lignite,0.82
MK,2017,Fossil brown coal / lignite,0.82
MK,2018,Fossil brown coal / lignite,0.82
MK,2019,Fossil brown coal / lignite,0.82
MK,2020,Fossil brown coal / lignite,0.82
MK,2021,Fossil brown coal / lignite,0.82
MK,2022,Fossil brown coal / lignite,0.82
MK,2023,Fossil brown coal / lignite,0.82
MK,2024,Fossil brown coal / lignite,0.82
MK,2025,Fossil brown coal / lignite,0.82
MK,2015,Fossil oil,0.16
MK,2016,Fossil oil,0.16
MK,2017,Fossil oil,0.16
MK,2018,Fossil oil,0.16
MK,2019,Fossil oil,0.16
MK,2020,Fossil oil,0.16
MK,2021,Fossil oil,0.16
MK,2022,Fossil oil,0.16
MK,2023,Fossil oil,0.16
MK,2024,Fossil oil,0.16
MK,2025,Fossil oil,0.16
MK,2015,Fossil gas,0.25
MK,2016,Fossil gas,0.25
MK,2017,Fossil gas,0.25
MK,2018,Fossil gas,0.25
MK,2019,Fossil gas,0.25
MK,2020,Fossil gas,0.25
MK,2021,Fossil gas,0.25
MK,2022,Fossil gas,0.25
MK,2023,Fossil gas,0.25
MK,2024,Fossil gas,0.25
MK,2025,Fossil gas,0.25
MK,2015,Hydro water reservoir,0.51
MK,2016,Hydro water reservoir,0.51
MK,2017,Hydro water reservoir,0.51
MK,2018,Hydro water reservoir,0.51
MK,2019,Hydro water reservoir,0.51
MK,2020,Hydro water reservoir,0.51
MK,2021,Hydro water reservoir,0.64
MK,2022,Hydro water reservoir,0.64
MK,2023,Hydro water reservoir,0.64
MK,2024,Hydro water reservoir,0.64
MK,2025,Hydro water reservoir,0.64
MK,2015,Wind onshore,0.04
MK,2016,Wind onshore,0.04
MK,2017,Wind onshore,0.04
MK,2018,Wind onshore,0.04
MK,2019,Wind onshore,0.04
MK,2020,Wind onshore,0.04
MK,2021,Wind onshore,0.04
MK,2022,Wind onshore,0.04
MK,2023,Wind onshore,0.04
MK,2024,Wind onshore,0.04
MK,2025,Wind onshore,0.04
MK,2021,Solar AC,0.02
MK,2022,Solar AC,0.02
MK,2024,Solar AC,0.07
MK,2025,Solar AC,0.07
