country,year,technology,capacity_gw
NL,2014,Nuclear,0.49
NL,2015,Nuclear,0.49
NL,2016,Nuclear,0.49
NL,2017,Nuclear,0.49
NL,2018,Nuclear,0.49
NL,2019,Nuclear,0.48
NL,2020,Nuclear,0.48
NL,2021,Nuclear,0.49
NL,2022,Nuclear,0.49
NL,2023,Nuclear,0.49
NL,2024,Nuclear,0.49
NL,2025,Nuclear,0.49
NL,2014,Biomass,0.4
NL,2015,Biomass,0.4
NL,2016,Biomass,0.49
NL,2017,Biomass,0.49
NL,2018,Biomass,0.48
NL,2019,Biomass,0.49
NL,2020,Biomass,0.56
NL,2021,Biomass,0.57
NL,2022,Biomass,0.42
NL,2023,Biomass,0.42
NL,2024,Biomass,0.42
NL,2025,Biomass,0.42
NL,2014,Fossil brown coal / lignite,0.0
NL,2015,Fossil brown coal / lignite,0.0
NL,2016,Fossil brown coal / lignite,0.0
NL,2017,Fossil brown coal / lignite,0.0
NL,2018,Fossil brown coal / lignite,0.0
NL,2019,Fossil brown coal / lignite,0.0
NL,2020,Fossil brown coal / lignite,0.0
NL,2021,Fossil brown coal / lignite,0.0
NL,2022,Fossil brown coal / lignite,0.0
NL,2023,Fossil brown coal / lignite,0.0
NL,2024,Fossil brown coal / lignite,0.0
NL,2025,Fossil brown coal / lignite,0.0
NL,2014,Fossil coal-derived gas,0.0
NL,2015,Fossil coal-derived gas,0.0
NL,2016,Fossil coal-derived gas,0.0
NL,2017,Fossil coal-derived gas,0.0
NL,2018,Fossil coal-derived gas,0.0
NL,2019,Fossil coal-derived gas,0.0
NL,2020,Fossil coal-derived gas,0.0
NL,2021,Fossil coal-derived gas,0.0
NL,2022,Fossil coal-derived gas,0.0
NL,2023,Fossil coal-derived gas,0.0
NL,2024,Fossil coal-derived gas,0.0
NL,2025,Fossil coal-derived gas,0.0
NL,2014,Fossil hard coal,7.27
NL,2015,Fossil hard coal,5.66
NL,2016,Fossil hard coal,4.61
NL,2017,Fossil hard coal,4.63
NL,2018,Fossil hard coal,4.63
NL,2019,Fossil hard coal,4.66
NL,2020,Fossil hard coal,4.01
NL,2021,Fossil hard coal,4.01
NL,2022,Fossil hard coal,4.01
NL,2023,Fossil hard coal,4.01
NL,2024,Fossil hard coal,4.01
NL,2025,Fossil hard coal,4.01
NL,2014,Fossil oil,0.0
NL,2015,Fossil oil,0.0
NL,2016,Fossil oil,0.0
NL,2017,Fossil oil,0.0
NL,2018,Fossil oil,0.0
NL,2019,Fossil oil,0.0
