country,year,technology,capacity_gw
PL,2014,Biomass,0.38
PL,2015,Biomass,0.43
PL,2016,Biomass,0.5
PL,2017,Biomass,0.6
PL,2018,Biomass,0.85
PL,2019,Biomass,0.88
PL,2020,Biomass,0.88
PL,2021,Biomass,0.65
PL,2022,Biomass,0.66
PL,2023,Biomass,0.66
PL,2024,Biomass,0.64
PL,2025,Biomass,0.7
PL,2014,Fossil brown coal / lignite,8.43
PL,2015,Fossil brown coal / lignite,8.48
PL,2016,Fossil brown coal / lignite,8.21
PL,2017,Fossil brown coal / lignite,8.56
PL,2018,Fossil brown coal / lignite,8.01
PL,2019,Fossil brown coal / lignite,7.68
PL,2020,Fossil brown coal / lignite,7.6
PL,2021,Fossil brown coal / lignite,7.56
PL,2022,Fossil brown coal / lignite,7.56
PL,2023,Fossil brown coal / lignite,7.56
PL,2024,Fossil brown coal / lignite,6.95
PL,2025,Fossil brown coal / lignite,6.95
PL,2014,Fossil coal-derived gas,0.16
PL,2015,Fossil coal-derived gas,0.16
PL,2016,Fossil coal-derived gas,0.16
PL,2017,Fossil coal-derived gas,0.16
PL,2018,Fossil coal-derived gas,0.27
PL,2019,Fossil coal-derived gas,0.27
PL,2020,Fossil coal-derived gas,0.27
PL,2021,Fossil coal-derived gas,0.28
PL,2022,Fossil coal-derived gas,0.28
PL,2023,Fossil coal-derived gas,0.27
PL,2024,Fossil coal-derived gas,0.47
PL,2025,Fossil coal-derived gas,0.5
PL,2014,Fossil hard coal,19.37
PL,2015,Fossil hard coal,18.48
PL,2016,Fossil hard coal,18.09
PL,2017,Fossil hard coal,20.08
PL,2018,Fossil hard coal,22.26
PL,2019,Fossil hard coal,22.29
PL,2020,Fossil hard coal,20.92
PL,2021,Fossil hard coal,19.07
PL,2022,Fossil hard coal,19.01
PL,2023,Fossil hard coal,18.83
PL,2024,Fossil hard coal,18.54
PL,2025,Fossil hard coal,18.54
PL,2014,Fossil oil,0.34
PL,2015,Fossil oil,0.34
PL,2016,Fossil oil,0.34
PL,2017,Fossil oil,0.42
PL,2018,Fossil oil,0.42
PL,2019,Fossil oil,0.36
PL,2020,Fossil oil,0.36
PL,2021,Fossil oil,0.39
PL,2022,Fossil oil,0.39
PL,2023,Fossil oil,0.39
PL,2024,Fossil oil,0.39
PL,2025,Fossil oil,0.41
PL,2014,Fossil gas,0.83
PL,2015,Fossil gas,1.3
PL,2016,Fossil gas,1.44
PL,2017,Fossil gas,2.14
PL,2018,Fossil gas,2.11
PL,2019,Fossil gas,2.54
PL,2020,Fossil gas,2.56
PL,2021,Fossil gas,3.81
PL,2022,Fossil gas,3.79
PL,2023,Fossil gas,5.16
PL,2024,Fossil gas,5.34
PL,2025,Fossil gas,5.43
PL,2014,Hydro water reservoir,0.16
PL,2015,Hydro water reservoir,0.16
PL,2016,Hydro water reservoir,0.16
PL,2017,Hydro water reservoir,0.16
PL,2018,Hydro water reservoir,0.16
PL,2019,Hydro water reservoir,0.16
PL,2020,Hydro water reservoir,0.16
PL,2021,Hydro water reservoir,0.46
PL,2022,Hydro water reservoir,0.47
PL,2023,Hydro water reservoir,0.47
PL,2024,Hydro water reservoir,0.47
PL,2025,Hydro water reservoir,0.47
PL,2014,Hydro pumped storage,1.77
PL,2015,Hydro pumped storage,1.77
PL,2016,Hydro pumped storage,1.77
PL,2017,Hydro pumped storage,1.78
PL,2018,Hydro pumped storage,1.78
PL,2019,Hydro pumped storage,1.78
PL,2020,Hydro pumped storage,1.79
PL,2021,Hydro pumped storage,1.59
PL,2022,Hydro pumped storage,1.59
PL,2023,Hydro pumped storage,1.59
PL,2024,Hydro pumped storage,1.52
PL,2025,Hydro pumped storage,1.52
PL,2021,Others,1.52
PL,2022,Others,1.52
PL,2023,Others,1.64
PL,2024,Others,1.74
PL,2025,Others,1.98
PL,2014,Wind onshore,3.76
PL,2015,Wind onshore,5.49
PL,2016,Wind onshore,6.03
PL,2017,Wind onshore,5.79
PL,2018,Wind onshore,5.81
PL,2019,Wind onshore,5.95
PL,2020,Wind onshore,6.57
PL,2021,Wind onshore,7.95
PL,2022,Wind onshore,8.98
PL,2023,Wind onshore,9.58
PL,2024,Wind onshore,10.3
PL,2025,Wind onshore,10.7
PL,2014,Solar AC,0.01
PL,2015,Solar AC,0.08
PL,2016,Solar AC,0.19
PL,2017,Solar AC,0.23
PL,2018,Solar AC,0.43
PL,2019,Solar AC,1.31
PL,2020,Solar AC,3.47
PL,2021,Solar AC,6.66
PL,2022,Solar AC,10.64
PL,2023,Solar AC,14.61
PL,2024,Solar AC,17.82
PL,2025,Solar AC,20.73
