country,year,technology,capacity_gw
SI,2014,Nuclear,0.7
SI,2015,Nuclear,0.7
SI,2016,Nuclear,0.7
SI,2017,Nuclear,0.7
SI,2018,Nuclear,0.7
SI,2019,Nuclear,0.7
SI,2020,Nuclear,0.7
SI,2021,Nuclear,0.7
SI,2022,Nuclear,0.7
SI,2023,Nuclear,0.7
SI,2024,Nuclear,0.7
SI,2025,Nuclear,0.7
SI,2014,Biomass,0.02
SI,2015,Biomass,0.02
SI,2016,Biomass,0.02
SI,2017,Biomass,0.02
SI,2018,Biomass,0.02
SI,2019,Biomass,0.02
SI,2020,Biomass,0.02
SI,2021,Biomass,0.02
SI,2022,Biomass,0.01
SI,2023,Biomass,0.04
SI,2024,Biomass,0.03
SI,2025,Biomass,0.05
SI,2014,Fossil brown coal / lignite,1.23
SI,2015,Fossil brown coal / lignite,0.92
SI,2016,Fossil brown coal / lignite,0.92
SI,2017,Fossil brown coal / lignite,0.92
SI,2018,Fossil brown coal / lignite,0.92
SI,2019,Fossil brown coal / lignite,0.97
SI,2020,Fossil brown coal / lignite,0.98
SI,2021,Fossil brown coal / lignite,0.98
SI,2022,Fossil brown coal / lignite,1.19
SI,2023,Fossil brown coal / lignite,1.19
SI,2024,Fossil brown coal / lignite,1.19
SI,2025,Fossil brown coal / lignite,0.89
SI,2014,Fossil coal-derived gas,0.0
SI,2015,Fossil coal-derived gas,0.0
SI,2016,Fossil coal-derived gas,0.0
SI,2017,Fossil coal-derived gas,0.0
SI,2018,Fossil coal-derived gas,0.0
SI,2020,Fossil coal-derived gas,0.0
SI,2021,Fossil coal-derived gas,0.0
SI,2014,Fossil hard coal,0.0
SI,2015,Fossil hard coal,0.0
SI,2016,Fossil hard coal,0.0
SI,2017,Fossil hard coal,0.0
SI,2018,Fossil hard coal,0.0
SI,2020,Fossil hard coal,0.0
SI,2021,Fossil hard coal,0.0
SI,2014,Fossil oil,0.0
SI,2015,Fossil oil,0.0
SI,2016,Fossil oil,0.06
SI,2017,Fossil oil,0.06
SI,2018,Fossil oil,0.06
SI,2019,Fossil oil,0.06
SI,2020,Fossil oil,0.0
SI,2021,Fossil oil,0.0
SI,2022,Fossil oil,0.06
SI,2023,Fossil oil,0.06
SI,2024,Fossil oil,0.06
SI,2025,Fossil oil,0.06
SI,2014,Fossil oil shale,0.0
SI,2015,Fossil oil shale,0.0
SI,2016,Fossil oil shale,0.0
SI,2017,Fossil oil shale,0.0
SI,2018,Fossil oil shale,0.0
SI,2020,Fossil oil shale,0.0
SI,2021,Fossil oil shale,0.0
SI,2014,Fossil peat,0.0
SI,2015,Fossil peat,0.0
SI,2016,Fossil peat,0.0
SI,2017,Fossil peat,0.0
SI,2018,Fossil peat,0.0
SI,2020,Fossil peat,0.0
SI,2021,Fossil peat,0.0
SI,2014,Fossil gas,0.49
SI,2015,Fossil gas,0.49
SI,2016,Fossil gas,0.49
SI,2017,Fossil gas,0.49
SI,2018,Fossil gas,0.49
SI,2019,Fossil gas,0.55
SI,2020,Fossil gas,0.55
SI,2021,Fossil gas,0.55
SI,2022,Fossil gas,0.62
SI,2023,Fossil gas,0.76
SI,2024,Fossil gas,0.76
SI,2025,Fossil gas,0.76
SI,2014,Geothermal,0.0
SI,2015,Geothermal,0.0
SI,2016,Geothermal,0.0
SI,2017,Geothermal,0.0
SI,2018,Geothermal,0.0
SI,2020,Geothermal,0.0
SI,2021,Geothermal,0.0
SI,2014,Hydro water reservoir,0.0
SI,2015,Hydro water reservoir,0.0
SI,2016,Hydro water reservoir,0.0
SI,2017,Hydro water reservoir,0.0
SI,2018,Hydro water reservoir,0.0
SI,2020,Hydro water reservoir,0.0
SI,2021,Hydro water reservoir,0.0
SI,2014,Hydro pumped storage,0.18
SI,2015,Hydro pumped storage,0.18
SI,2016,Hydro pumped storage,0.18
SI,2017,Hydro pumped storage,0.18
SI,2018,Hydro pumped storage,0.18
SI,2019,Hydro pumped storage,0.18
SI,2020,Hydro pumped storage,0.18
SI,2021,Hydro pumped storage,0.18
