country,year,technology,capacity_gw
SK,2014,Nuclear,1.94
SK,2015,Nuclear,1.94
SK,2016,Nuclear,1.94
SK,2017,Nuclear,1.94
SK,2018,Nuclear,1.94
SK,2019,Nuclear,1.94
SK,2020,Nuclear,2.0
SK,2014,Biomass,0.26
SK,2015,Biomass,0.22
SK,2016,Biomass,0.22
SK,2017,Biomass,0.22
SK,2018,Biomass,0.21
SK,2019,Biomass,0.22
SK,2020,Biomass,0.23
SK,2014,Fossil brown coal / lignite,0.57
SK,2015,Fossil brown coal / lignite,0.46
SK,2016,Fossil brown coal / lignite,0.33
SK,2017,Fossil brown coal / lignite,0.34
SK,2018,Fossil brown coal / lignite,0.32
SK,2019,Fossil brown coal / lignite,0.31
SK,2020,Fossil brown coal / lignite,0.28
SK,2014,Fossil hard coal,0.44
SK,2015,Fossil hard coal,0.22
SK,2016,Fossil hard coal,0.22
SK,2017,Fossil hard coal,0.22
SK,2018,Fossil hard coal,0.22
SK,2019,Fossil hard coal,0.0
SK,2020,Fossil hard coal,0.0
SK,2014,Fossil oil,0.2
SK,2015,Fossil oil,0.26
SK,2016,Fossil oil,0.26
SK,2017,Fossil oil,0.26
SK,2018,Fossil oil,0.26
SK,2019,Fossil oil,0.26
SK,2020,Fossil oil,0.26
SK,2014,Fossil gas,1.09
SK,2015,Fossil gas,1.12
SK,2016,Fossil gas,1.11
SK,2017,Fossil gas,1.11
SK,2018,Fossil gas,1.15
SK,2019,Fossil gas,1.15
SK,2020,Fossil gas,1.18
SK,2014,Hydro water reservoir,0.42
SK,2015,Hydro water reservoir,0.42
SK,2016,Hydro water reservoir,0.42
SK,2017,Hydro water reservoir,0.42
SK,2018,Hydro water reservoir,0.42
SK,2019,Hydro water reservoir,0.42
SK,2020,Hydro water reservoir,0.42
SK,2014,Hydro pumped storage,0.92
SK,2015,Hydro pumped storage,0.92
SK,2016,Hydro pumped storage,0.92
SK,2017,Hydro pumped storage,0.92
SK,2018,Hydro pumped storage,0.92
SK,2019,Hydro pumped storage,0.92
SK,2020,Hydro pumped storage,0.92
SK,2014,Others,0.42
SK,2015,Others,0.44
SK,2016,Others,0.45
SK,2017,Others,0.44
SK,2018,Others,0.42
SK,2019,Others,0.64
SK,2020,Others,0.63
SK,2014,Other renewables,0.11
SK,2015,Other renewables,0.12
SK,2016,Other renewables,0.12
SK,2017,Other renewables,0.12
SK,2018,Other renewables,0.12
SK,2019,Other renewables,0.12
SK,2020,Other renewables,0.12
SK,2014,Wind onshore,0.0
SK,2015,Wind onshore,0.0
SK,2016,Wind onshore,0.0
SK,2017,Wind onshore,0.0
SK,2018,Wind onshore,0.0
SK,2019,Wind onshore,0.0
SK,2020,Wind onshore,0.0
SK,2014,Solar AC,0.53
SK,2015,Solar AC,0.53
SK,2016,Solar AC,0.53
SK,2017,Solar AC,0.53
SK,2018,Solar AC,0.53
SK,2019,Solar AC,0.53
SK,2020,Solar AC,0.53
