country,year,month,type,pct
CZ,2021,1,ren,11.503225806451614
CZ,2021,2,ren,13.939285714285715
CZ,2021,3,ren,15.00967741935484
CZ,2021,4,ren,16.15333333333333
CZ,2021,5,ren,19.28387096774194
CZ,2021,6,ren,18.746666666666666
CZ,2021,7,ren,20.458064516129028
CZ,2021,8,ren,17.674193548387098
CZ,2021,9,ren,16.513333333333332
CZ,2021,10,ren,15.316129032258068
CZ,2021,11,ren,11.62333333333333
CZ,2021,12,ren,10.864516129032257
CZ,2021,1,solar,0.6451612903225807
CZ,2021,2,solar,1.4000000000000001
CZ,2021,3,solar,3.0548387096774188
CZ,2021,4,solar,4.373333333333334
CZ,2021,5,solar,4.816129032258063
CZ,2021,6,solar,6.303333333333333
CZ,2021,7,solar,6.022580645161289
CZ,2021,8,solar,4.935483870967742
CZ,2021,9,solar,4.753333333333334
CZ,2021,10,solar,3.793548387096775
CZ,2021,11,solar,1.0799999999999996
CZ,2021,12,solar,0.6064516129032258
CZ,2021,1,wind,0.8774193548387098
CZ,2021,2,wind,0.8071428571428572
CZ,2021,3,wind,0.9580645161290322
CZ,2021,4,wind,1.0666666666666667
CZ,2021,5,wind,1.3580645161290321
CZ,2021,6,wind,0.49333333333333323
CZ,2021,7,wind,0.6225806451612903
CZ,2021,8,wind,0.6903225806451613
CZ,2021,9,wind,0.6199999999999999
CZ,2021,10,wind,1.2967741935483872
CZ,2021,11,wind,0.9966666666666665
CZ,2021,12,wind,1.1516129032258065
CZ,2022,1,ren,12.319354838709678
CZ,2022,2,ren,13.914285714285711
CZ,2022,3,ren,15.864516129032255
CZ,2022,4,ren,16.646666666666665
CZ,2022,5,ren,18.803225806451614
CZ,2022,6,ren,18.253333333333334
CZ,2022,7,ren,19.864516129032264
CZ,2022,8,ren,18.361290322580643
CZ,2022,9,ren,16.650000000000002
CZ,2022,10,ren,14.467741935483867
CZ,2022,11,ren,11.629999999999999
CZ,2022,12,ren,12.503225806451612
CZ,2022,1,solar,1.0129032258064519
CZ,2022,2,solar,2.349999999999999
CZ,2022,3,solar,4.6322580645161295
CZ,2022,4,solar,4.546666666666666
CZ,2022,5,solar,6.338709677419357
CZ,2022,6,solar,6.666666666666668
CZ,2022,7,solar,6.609677419354839
CZ,2022,8,solar,5.616129032258065
CZ,2022,9,solar,3.910000000000001
CZ,2022,10,solar,2.8064516129032255
CZ,2022,11,solar,1.2533333333333334
CZ,2022,12,solar,0.6322580645161291
CZ,2022,1,wind,1.4322580645161291
CZ,2022,2,wind,1.885714285714286
CZ,2022,3,wind,0.8419354838709675
CZ,2022,4,wind,1.0833333333333333
CZ,2022,5,wind,0.7709677419354836
CZ,2022,6,wind,0.6266666666666668
CZ,2022,7,wind,0.8032258064516131
CZ,2022,8,wind,0.6354838709677421
CZ,2022,9,wind,0.7733333333333334
CZ,2022,10,wind,1.1161290322580644
CZ,2022,11,wind,0.8200000000000001
CZ,2022,12,wind,1.1645161290322579
CZ,2023,1,ren,12.967741935483877
CZ,2023,2,ren,13.542857142857144
CZ,2023,3,ren,16.477419354838712
CZ,2023,4,ren,18.413333333333334
CZ,2023,5,ren,20.696774193548382
CZ,2023,6,ren,20.953333333333333
CZ,2023,7,ren,20.867741935483867
CZ,2023,8,ren,19.53870967741936
CZ,2023,9,ren,20.549999999999997
CZ,2023,10,ren,17.82258064516129
CZ,2023,11,ren,14.379999999999999
CZ,2023,12,ren,15.954838709677418
CZ,2023,1,solar,0.7967741935483869
CZ,2023,2,solar,1.757142857142857
CZ,2023,3,solar,3.196774193548387
CZ,2023,4,solar,4.010000000000001
CZ,2023,5,solar,6.5032258064516135
CZ,2023,6,solar,8.67666666666667
CZ,2023,7,solar,9.361290322580643
CZ,2023,8,solar,7.516129032258065
CZ,2023,9,solar,8.476666666666667
CZ,2023,10,solar,4.880645161290323
CZ,2023,11,solar,2.116666666666667
CZ,2023,12,solar,1.32258064516129
CZ,2023,1,wind,1.3064516129032255
CZ,2023,2,wind,1.239285714285714
CZ,2023,3,wind,1.3322580645161295
CZ,2023,4,wind,0.9133333333333332
CZ,2023,5,wind,0.9967741935483869
CZ,2023,6,wind,0.7833333333333333
CZ,2023,7,wind,0.9645161290322581
CZ,2023,8,wind,0.9354838709677418
CZ,2023,9,wind,0.7566666666666666
CZ,2023,10,wind,1.3903225806451611
CZ,2023,11,wind,1.5366666666666664
CZ,2023,12,wind,1.8387096774193548
CZ,2024,1,ren,17.222580645161294
CZ,2024,2,ren,16.520689655172415
CZ,2024,3,ren,19.26774193548387
CZ,2024,4,ren,21.786666666666672
CZ,2024,5,ren,23.019354838709674
CZ,2024,6,ren,24.326666666666668
CZ,2024,7,ren,21.76774193548387
CZ,2024,8,ren,22.183870967741935
CZ,2024,9,ren,23.969999999999995
CZ,2024,10,ren,19.05806451612903
CZ,2024,11,ren,14.386666666666667
CZ,2024,12,ren,15.212903225806453
CZ,2024,1,solar,1.8903225806451613
CZ,2024,2,solar,2.6827586206896554
CZ,2024,3,solar,6.03225806451613
CZ,2024,4,solar,8.69
CZ,2024,5,solar,10.103225806451615
CZ,2024,6,solar,11.233333333333336
CZ,2024,7,solar,12.190322580645162
CZ,2024,8,solar,11.71290322580645
CZ,2024,9,solar,8.29
CZ,2024,10,solar,4.7548387096774185
CZ,2024,11,solar,2.603333333333333
CZ,2024,12,solar,1.6935483870967745
CZ,2024,1,wind,1.5645161290322582
CZ,2024,2,wind,1.5689655172413788
CZ,2024,3,wind,1.2645161290322582
CZ,2024,4,wind,1.2933333333333332
CZ,2024,5,wind,0.9354838709677418
CZ,2024,6,wind,0.72
CZ,2024,7,wind,0.6354838709677421
CZ,2024,8,wind,0.635483870967742
CZ,2024,9,wind,1.4833333333333336
CZ,2024,10,wind,1.2999999999999998
CZ,2024,11,wind,1.1699999999999997
CZ,2024,12,wind,1.067741935483871
CZ,2025,1,ren,13.767741935483869
CZ,2025,2,ren,15.296428571428573
CZ,2025,3,ren,19.7258064516129
CZ,2025,4,ren,24.076666666666668
CZ,2025,5,ren,24.82903225806452
CZ,2025,6,ren,26.626666666666665
CZ,2025,7,ren,23.948387096774198
CZ,2025,8,ren,26.17741935483871
CZ,2025,9,ren,21.86666666666667
CZ,2025,10,ren,17.422580645161293
CZ,2025,11,ren,14.633333333333331
CZ,2025,12,ren,12.877419354838711
CZ,2025,1,solar,1.7451612903225806
CZ,2025,2,solar,4.467857142857142
CZ,2025,3,solar,8.1
CZ,2025,4,solar,11.046666666666665
CZ,2025,5,solar,12.20645161290322
CZ,2025,6,solar,13.916666666666664
CZ,2025,7,solar,11.903225806451609
CZ,2025,8,solar,13.383870967741938
CZ,2025,9,solar,9.196666666666665
CZ,2025,10,solar,5.019354838709679
CZ,2025,11,solar,2.786666666666667
CZ,2025,12,solar,1.538709677419355
CZ,2025,1,wind,1.2677419354838708
CZ,2025,2,wind,0.6357142857142859
CZ,2025,3,wind,0.7258064516129032
CZ,2025,4,wind,0.8733333333333334
CZ,2025,5,wind,0.7741935483870969
CZ,2025,6,wind,0.84
CZ,2025,7,wind,0.7
CZ,2025,8,wind,0.5903225806451612
CZ,2025,9,wind,1.1099999999999999
CZ,2025,10,wind,1.6129032258064513
CZ,2025,11,wind,1.25
CZ,2025,12,wind,1.232258064516129
