country,year,month,type,pct
DK,2021,1,ren,54.72903225806451
DK,2021,2,ren,69.09285714285714
DK,2021,3,ren,66.41290322580646
DK,2021,4,ren,73.31000000000002
DK,2021,5,ren,60.61935483870965
DK,2021,6,ren,52.45
DK,2021,7,ren,49.2741935483871
DK,2021,8,ren,63.30967741935483
DK,2021,9,ren,55.823333333333345
DK,2021,10,ren,76.26774193548387
DK,2021,11,ren,70.30333333333333
DK,2021,12,ren,68.69999999999999
DK,2021,1,solar,0.5419354838709678
DK,2021,2,solar,1.7392857142857143
DK,2021,3,solar,3.551612903225807
DK,2021,4,solar,6.71
DK,2021,5,solar,5.8741935483870975
DK,2021,6,solar,8.226666666666665
DK,2021,7,solar,7.558064516129032
DK,2021,8,solar,6.2774193548387105
DK,2021,9,solar,4.88
DK,2021,10,solar,2.470967741935484
DK,2021,11,solar,0.9066666666666668
DK,2021,12,solar,0.39354838709677425
DK,2021,1,wind,35.12903225806453
DK,2021,2,wind,49.05357142857142
DK,2021,3,wind,45.487096774193546
DK,2021,4,wind,46.93666666666665
DK,2021,5,wind,38.067741935483866
DK,2021,6,wind,32.1
DK,2021,7,wind,39.070967741935476
DK,2021,8,wind,49.999999999999986
DK,2021,9,wind,36.53333333333334
DK,2021,10,wind,55.6774193548387
DK,2021,11,wind,50.11
DK,2021,12,wind,50.48064516129033
DK,2022,1,ren,86.84193548387096
DK,2022,2,ren,98.61428571428573
DK,2022,3,ren,65.2741935483871
DK,2022,4,ren,74.25
DK,2022,5,ren,70.75806451612905
DK,2022,6,ren,53.856666666666655
DK,2022,7,ren,83.09032258064515
DK,2022,8,ren,49.78387096774195
DK,2022,9,ren,74.32333333333334
DK,2022,10,ren,76.0741935483871
DK,2022,11,ren,88.43666666666665
DK,2022,12,ren,76.93870967741934
DK,2022,1,solar,1.035483870967742
DK,2022,2,solar,2.5321428571428575
DK,2022,3,solar,6.9225806451612915
DK,2022,4,solar,9.460000000000003
DK,2022,5,solar,10.412903225806453
DK,2022,6,solar,11.106666666666666
DK,2022,7,solar,11.251612903225805
