country,year,month,type,pct
FR,2021,1,ren,21.677419354838708
FR,2021,2,ren,26.803571428571427
FR,2021,3,ren,24.145161290322577
FR,2021,4,ren,22.529999999999998
FR,2021,5,ren,33.00322580645162
FR,2021,6,ren,28.309999999999995
FR,2021,7,ren,29.07741935483871
FR,2021,8,ren,26.454838709677414
FR,2021,9,ren,19.933333333333337
FR,2021,10,ren,20.280645161290316
FR,2021,11,ren,15.593333333333335
FR,2021,12,ren,19.680645161290315
FR,2021,1,solar,0.8677419354838711
FR,2021,2,solar,1.5607142857142857
FR,2021,3,solar,2.867741935483871
FR,2021,4,solar,3.886666666666666
FR,2021,5,solar,4.396774193548387
FR,2021,6,solar,4.943333333333334
FR,2021,7,solar,5.061290322580646
FR,2021,8,solar,5.387096774193548
FR,2021,9,solar,4.13
FR,2021,10,solar,3.1032258064516127
FR,2021,11,solar,1.3799999999999997
FR,2021,12,solar,1.038709677419355
FR,2021,1,wind,7.341935483870969
FR,2021,2,wind,9.453571428571431
FR,2021,3,wind,8.229032258064516
FR,2021,4,wind,7.83
FR,2021,5,wind,10.819354838709678
FR,2021,6,wind,4.35
FR,2021,7,wind,6.9161290322580635
FR,2021,8,wind,7.087096774193548
FR,2021,9,wind,5.093333333333333
FR,2021,10,wind,9.106451612903227
FR,2021,11,wind,5.953333333333334
FR,2021,12,wind,8.490322580645161
FR,2022,1,ren,18.100000000000005
FR,2022,2,ren,23.578571428571426
FR,2022,3,ren,20.687096774193545
FR,2022,4,ren,26.676666666666662
FR,2022,5,ren,28.79032258064516
FR,2022,6,ren,24.993333333333336
FR,2022,7,ren,23.767741935483873
FR,2022,8,ren,22.300000000000008
FR,2022,9,ren,20.983333333333334
FR,2022,10,ren,23.90645161290323
FR,2022,11,ren,25.106666666666666
FR,2022,12,ren,22.832258064516132
FR,2022,1,solar,1.3064516129032255
FR,2022,2,solar,2.078571428571428
FR,2022,3,solar,2.9774193548387102
FR,2022,4,solar,4.473333333333333
FR,2022,5,solar,7.064516129032259
FR,2022,6,solar,6.760000000000001
FR,2022,7,solar,7.767741935483873
FR,2022,8,solar,7.267741935483868
FR,2022,9,solar,5.5633333333333335
FR,2022,10,solar,3.954838709677419
FR,2022,11,solar,2.3433333333333337
FR,2022,12,solar,1.3516129032258064
FR,2022,1,wind,6.087096774193548
FR,2022,2,wind,11.478571428571426
FR,2022,3,wind,7.748387096774193
FR,2022,4,wind,8.623333333333333
FR,2022,5,wind,6.470967741935483
FR,2022,6,wind,5.893333333333331
FR,2022,7,wind,5.683870967741937
FR,2022,8,wind,6.758064516129033
FR,2022,9,wind,7.296666666666668
FR,2022,10,wind,10.958064516129031
FR,2022,11,wind,13.126666666666667
FR,2022,12,wind,10.812903225806453
FR,2023,1,ren,26.912903225806453
FR,2023,2,ren,18.549999999999994
FR,2023,3,ren,29.448387096774194
FR,2023,4,ren,29.51666666666666
FR,2023,5,ren,35.725806451612904
FR,2023,6,ren,34.06333333333333
FR,2023,7,ren,31.506451612903227
FR,2023,8,ren,29.587096774193547
FR,2023,9,ren,25.339999999999993
FR,2023,10,ren,28.43548387096774
FR,2023,11,ren,34.45333333333333
FR,2023,12,ren,32.48064516129032
FR,2023,1,solar,1.5548387096774192
FR,2023,2,solar,3.1535714285714285
FR,2023,3,solar,4.151612903225806
FR,2023,4,solar,6.129999999999999
FR,2023,5,solar,7.803225806451613
FR,2023,6,solar,9.01
FR,2023,7,solar,8.654838709677422
FR,2023,8,solar,8.506451612903227
FR,2023,9,solar,7.436666666666667
FR,2023,10,solar,5.006451612903226
FR,2023,11,solar,2.4766666666666666
FR,2023,12,solar,1.7483870967741937
FR,2023,1,wind,12.796774193548389
FR,2023,2,wind,7.517857142857141
FR,2023,3,wind,13.74516129032258
FR,2023,4,wind,10.403333333333332
FR,2023,5,wind,11.419354838709676
FR,2023,6,wind,7.299999999999999
FR,2023,7,wind,10.622580645161289
FR,2023,8,wind,9.574193548387099
FR,2023,9,wind,7.9266666666666685
FR,2023,10,wind,13.087096774193549
FR,2023,11,wind,16.343333333333334
FR,2023,12,wind,15.587096774193549
FR,2024,1,ren,28.225806451612907
FR,2024,2,ren,31.637931034482758
FR,2024,3,ren,33.87096774193548
FR,2024,4,ren,35.67
FR,2024,5,ren,38.56129032258065
FR,2024,6,ren,37.56000000000001
FR,2024,7,ren,33.987096774193546
FR,2024,8,ren,30.867741935483874
FR,2024,9,ren,32.47666666666667
FR,2024,10,ren,32.351612903225806
FR,2024,11,ren,25.789999999999996
FR,2024,12,ren,27.254838709677415
FR,2024,1,solar,1.9516129032258065
FR,2024,2,solar,2.7896551724137932
FR,2024,3,solar,4.987096774193549
FR,2024,4,solar,6.74
FR,2024,5,solar,7.94516129032258
FR,2024,6,solar,9.009999999999998
FR,2024,7,solar,9.59677419354839
FR,2024,8,solar,10.13548387096774
FR,2024,9,solar,6.999999999999999
FR,2024,10,solar,4.854838709677418
FR,2024,11,solar,3.1466666666666656
FR,2024,12,solar,2.0451612903225804
FR,2024,1,wind,11.596774193548386
FR,2024,2,wind,14.293103448275865
FR,2024,3,wind,11.351612903225808
FR,2024,4,wind,12.826666666666664
FR,2024,5,wind,8.403225806451612
FR,2024,6,wind,8.306666666666667
FR,2024,7,wind,7.006451612903227
FR,2024,8,wind,7.44516129032258
FR,2024,9,wind,13.259999999999996
FR,2024,10,wind,10.161290322580644
FR,2024,11,wind,10.389999999999999
FR,2024,12,wind,11.983870967741934
FR,2025,1,ren,27.825806451612905
FR,2025,2,ren,26.79642857142857
FR,2025,3,ren,29.041935483870965
FR,2025,4,ren,33.62
FR,2025,5,ren,38.50645161290323
FR,2025,6,ren,35.56666666666668
FR,2025,7,ren,32.512903225806454
FR,2025,8,ren,31.141935483870974
FR,2025,9,ren,31.946666666666662
FR,2025,10,ren,32.95806451612904
FR,2025,11,ren,30.679999999999996
FR,2025,12,ren,28.599999999999998
FR,2025,1,solar,2.109677419354839
FR,2025,2,solar,3.75
FR,2025,3,solar,6.538709677419355
FR,2025,4,solar,8.876666666666665
FR,2025,5,solar,10.987096774193548
FR,2025,6,solar,12.030000000000003
FR,2025,7,solar,12.62258064516129
FR,2025,8,solar,12.103225806451613
FR,2025,9,solar,8.726666666666668
FR,2025,10,solar,6.761290322580644
FR,2025,11,solar,3.5799999999999996
FR,2025,12,solar,2.464516129032258
FR,2025,1,wind,12.345161290322581
FR,2025,2,wind,8.925
FR,2025,3,wind,10.370967741935484
FR,2025,4,wind,11.063333333333334
FR,2025,5,wind,11.364516129032257
FR,2025,6,wind,8.283333333333333
FR,2025,7,wind,9.206451612903225
FR,2025,8,wind,8.674193548387098
FR,2025,9,wind,12.649999999999999
FR,2025,10,wind,15.332258064516127
FR,2025,11,wind,13.743333333333332
FR,2025,12,wind,13.054838709677417
