country,year,month,type,pct
GB,2021,1,ren,24.929032258064517
GB,2021,2,ren,31.800000000000008
GB,2021,3,ren,32.47419354838709
GB,2021,4,ren,27.276666666666664
GB,2021,5,ren,27.890322580645158
GB,2021,6,ren,29.62142857142857
GB,2021,1,solar,0.8193548387096774
GB,2021,2,solar,1.7892857142857148
GB,2021,3,solar,3.1999999999999993
GB,2021,4,solar,6.209999999999997
GB,2021,5,solar,5.5838709677419365
GB,2021,6,solar,7.235714285714286
GB,2021,1,wind,17.24838709677419
GB,2021,2,wind,22.98928571428571
GB,2021,3,wind,20.564516129032253
GB,2021,4,wind,14.090000000000002
GB,2021,5,wind,14.661290322580644
GB,2021,6,wind,14.521428571428569
GB,2022,1,ren,7.261290322580645
GB,2022,2,ren,61.43214285714284
GB,2022,3,ren,35.57096774193548
GB,2022,4,ren,36.053333333333335
GB,2022,5,ren,39.974193548387106
GB,2022,6,ren,36.879999999999995
GB,2022,7,ren,25.016129032258068
GB,2022,8,ren,23.92903225806452
GB,2022,9,ren,28.240000000000002
GB,2022,10,ren,39.96774193548387
GB,2022,11,ren,47.81666666666668
GB,2022,12,ren,31.848387096774196
GB,2022,1,wind,7.261290322580645
GB,2022,2,wind,61.43214285714284
GB,2022,3,wind,35.57096774193548
GB,2022,4,wind,36.053333333333335
GB,2022,5,wind,39.974193548387106
GB,2022,6,wind,36.879999999999995
GB,2022,7,wind,25.016129032258068
GB,2022,8,wind,23.92903225806452
GB,2022,9,wind,28.240000000000002
GB,2022,10,wind,39.96774193548387
GB,2022,11,wind,47.81666666666668
GB,2022,12,wind,31.848387096774196
GB,2023,1,ren,43.30322580645161
GB,2023,2,ren,45.18571428571429
GB,2023,3,ren,29.677419354838705
GB,2023,4,ren,41.2625
GB,2023,5,ren,23.566666666666666
GB,2023,6,ren,23.520000000000003
GB,2023,7,ren,29.49354838709677
GB,2023,8,ren,34.40645161290324
GB,2023,9,ren,29.03333333333334
GB,2023,10,ren,31.867741935483867
GB,2023,11,ren,29.360000000000007
GB,2023,12,ren,45.622580645161285
GB,2023,1,wind,43.30322580645161
GB,2023,2,wind,45.18571428571429
GB,2023,3,wind,29.677419354838705
GB,2023,4,wind,41.2625
GB,2023,5,wind,23.566666666666666
GB,2023,6,wind,23.520000000000003
GB,2023,7,wind,29.49354838709677
GB,2023,8,wind,34.40645161290324
GB,2023,9,wind,29.03333333333334
GB,2023,10,wind,31.867741935483867
GB,2023,11,wind,29.360000000000007
GB,2023,12,wind,45.622580645161285
GB,2024,1,ren,34.63548387096774
GB,2024,2,ren,37.32068965517242
GB,2024,3,ren,37.74516129032258
GB,2024,4,ren,29.323333333333334
GB,2024,5,ren,21.922580645161286
GB,2024,6,ren,26.703333333333326
GB,2024,7,ren,17.019354838709674
GB,2024,8,ren,31.48709677419355
GB,2024,9,ren,24.206666666666663
GB,2024,10,ren,34.84838709677418
GB,2024,11,ren,26.12333333333334
GB,2024,12,ren,34.667741935483875
GB,2024,1,wind,34.63548387096774
GB,2024,2,wind,37.32068965517242
GB,2024,3,wind,37.74516129032258
GB,2024,4,wind,29.323333333333334
GB,2024,5,wind,21.922580645161286
GB,2024,6,wind,26.703333333333326
GB,2024,7,wind,17.019354838709674
GB,2024,8,wind,31.48709677419355
GB,2024,9,wind,24.206666666666663
GB,2024,10,wind,34.84838709677418
GB,2024,11,wind,26.12333333333334
GB,2024,12,wind,34.667741935483875
GB,2025,1,ren,18.27777777777778
GB,2025,2,ren,32.779999999999994
GB,2025,3,ren,33.31739130434782
GB,2025,4,ren,29.240000000000006
GB,2025,5,ren,21.58709677419355
GB,2025,6,ren,32.190000000000005
GB,2025,7,ren,28.987096774193553
GB,2025,8,ren,30.5483870967742
GB,2025,9,ren,34.87333333333332
GB,2025,10,ren,30.343478260869563
GB,2025,1,wind,18.27777777777778
GB,2025,2,wind,32.779999999999994
GB,2025,3,wind,33.31739130434782
GB,2025,4,wind,29.240000000000006
GB,2025,5,wind,21.58709677419355
GB,2025,6,wind,32.190000000000005
GB,2025,7,wind,28.987096774193553
GB,2025,8,wind,30.5483870967742
GB,2025,9,wind,34.87333333333332
GB,2025,10,wind,30.343478260869563
