country,year,month,type,pct
GR,2021,1,ren,43.83548387096774
GR,2021,2,ren,46.87500000000001
GR,2021,3,ren,33.13548387096774
GR,2021,4,ren,33.66333333333333
GR,2021,5,ren,38.3258064516129
GR,2021,6,ren,27.086666666666666
GR,2021,7,ren,31.28709677419355
GR,2021,8,ren,30.62903225806451
GR,2021,9,ren,34.68666666666666
GR,2021,10,ren,38.44838709677419
GR,2021,11,ren,32.24666666666666
GR,2021,12,ren,44.36129032258064
GR,2021,1,solar,4.770967741935484
GR,2021,2,solar,7.2821428571428575
GR,2021,3,solar,9.64516129032258
GR,2021,4,solar,11.993333333333336
GR,2021,5,solar,15.203225806451613
GR,2021,6,solar,12.996666666666666
GR,2021,7,solar,10.545161290322582
GR,2021,8,solar,10.874193548387098
GR,2021,9,solar,11.020000000000001
GR,2021,10,solar,7.951612903225806
GR,2021,11,solar,5.383333333333335
GR,2021,12,solar,5.02258064516129
GR,2021,1,wind,24.841935483870973
GR,2021,2,wind,20.125
GR,2021,3,wind,17.580645161290324
GR,2021,4,wind,16.88
GR,2021,5,wind,15.838709677419354
GR,2021,6,wind,7.039999999999998
GR,2021,7,wind,13.035483870967742
GR,2021,8,wind,12.345161290322581
GR,2021,9,wind,18.423333333333336
GR,2021,10,wind,25.32903225806452
GR,2021,11,wind,21.723333333333333
GR,2021,12,wind,24.083870967741934
GR,2022,1,ren,37.5258064516129
GR,2022,2,ren,31.721428571428564
GR,2022,3,ren,35.93548387096775
GR,2022,4,ren,43.730000000000004
GR,2022,5,ren,40.36451612903225
GR,2022,6,ren,41.20666666666667
GR,2022,7,ren,44.241935483870975
GR,2022,8,ren,37.690322580645166
GR,2022,9,ren,39.72000000000001
GR,2022,10,ren,50.76129032258065
GR,2022,11,ren,40.21666666666666
GR,2022,12,ren,30.645161290322584
GR,2022,1,solar,6.380645161290322
GR,2022,2,solar,8.52142857142857
GR,2022,3,solar,10.406451612903224
GR,2022,4,solar,16.56333333333333
GR,2022,5,solar,18.525806451612898
GR,2022,6,solar,16.416666666666668
GR,2022,7,solar,16.48064516129032
GR,2022,8,solar,14.95483870967742
GR,2022,9,solar,16.746666666666666
GR,2022,10,solar,16.5258064516129
GR,2022,11,solar,8.633333333333333
GR,2022,12,solar,6.480645161290321
GR,2022,1,wind,17.92258064516129
GR,2022,2,wind,18.839285714285715
GR,2022,3,wind,18.96774193548388
GR,2022,4,wind,21.756666666666668
GR,2022,5,wind,14.987096774193551
GR,2022,6,wind,17.51666666666667
GR,2022,7,wind,20.27741935483871
GR,2022,8,wind,14.580645161290322
GR,2022,9,wind,16.863333333333333
GR,2022,10,wind,29.52903225806452
GR,2022,11,wind,26.85
GR,2022,12,wind,17.858064516129033
GR,2023,1,ren,36.05483870967742
GR,2023,2,ren,40.74642857142857
GR,2023,3,ren,43.37096774193548
GR,2023,4,ren,42.376666666666665
GR,2023,5,ren,45.76451612903226
GR,2023,6,ren,42.22666666666665
GR,2023,7,ren,39.07096774193548
GR,2023,8,ren,51.69032258064515
GR,2023,9,ren,55.8
GR,2023,10,ren,50.94838709677419
GR,2023,11,ren,49.27333333333333
GR,2023,12,ren,45.63548387096776
GR,2023,1,solar,9.32258064516129
GR,2023,2,solar,13.135714285714286
GR,2023,3,solar,16.89032258064516
GR,2023,4,solar,19.623333333333335
GR,2023,5,solar,19.361290322580643
GR,2023,6,solar,22.62
GR,2023,7,solar,21.680645161290325
GR,2023,8,solar,23.04516129032258
GR,2023,9,solar,22.61666666666667
GR,2023,10,solar,21.670967741935485
GR,2023,11,solar,14.333333333333332
GR,2023,12,solar,11.770967741935483
GR,2023,1,wind,19.24838709677419
GR,2023,2,wind,21.250000000000004
GR,2023,3,wind,22.551612903225813
GR,2023,4,wind,18.503333333333334
GR,2023,5,wind,22.212903225806446
GR,2023,6,wind,11.876666666666667
GR,2023,7,wind,10.541935483870967
