country,year,month,type,pct
HR,2021,1,ren,73.78387096774196
HR,2021,2,ren,71.03928571428573
HR,2021,3,ren,57.651612903225804
HR,2021,4,ren,57.15666666666669
HR,2021,5,ren,66.31612903225805
HR,2021,6,ren,42.23666666666667
HR,2021,7,ren,34.18064516129032
HR,2021,8,ren,36.909677419354836
HR,2021,9,ren,32.31
HR,2021,10,ren,38.17096774193548
HR,2021,11,ren,49.57666666666667
HR,2021,12,ren,67.84516129032258
HR,2021,1,solar,0.1580645161290323
HR,2021,2,solar,0.27857142857142864
HR,2021,3,solar,0.4935483870967742
HR,2021,4,solar,0.5766666666666668
HR,2021,5,solar,0.7451612903225806
HR,2021,6,solar,0.84
HR,2021,7,solar,0.6870967741935484
HR,2021,8,solar,0.6483870967741933
HR,2021,9,solar,0.5966666666666665
HR,2021,10,solar,0.4000000000000001
HR,2021,11,solar,0.19
HR,2021,12,solar,0.135483870967742
HR,2021,1,wind,14.445161290322579
HR,2021,2,wind,11.474999999999996
HR,2021,3,wind,12.538709677419353
HR,2021,4,wind,11.973333333333333
HR,2021,5,wind,11.009677419354839
HR,2021,6,wind,6.679999999999999
HR,2021,7,wind,7.506451612903226
HR,2021,8,wind,8.700000000000001
HR,2021,9,wind,8.759999999999998
HR,2021,10,wind,15.377419354838707
HR,2021,11,wind,13.779999999999998
HR,2021,12,wind,14.90967741935484
HR,2022,1,ren,59.187096774193556
HR,2022,2,ren,44.11428571428572
HR,2022,3,ren,45.24516129032257
HR,2022,4,ren,48.93666666666666
HR,2022,5,ren,39.6032258064516
HR,2022,6,ren,37.29333333333334
HR,2022,7,ren,32.351612903225806
HR,2022,8,ren,31.4
HR,2022,9,ren,36.83666666666667
HR,2022,10,ren,33.34838709677419
HR,2022,11,ren,51.669999999999995
HR,2022,12,ren,63.29354838709678
HR,2022,1,solar,0.2161290322580645
HR,2022,2,solar,0.32142857142857134
HR,2022,3,solar,0.6000000000000001
HR,2022,4,solar,0.6799999999999998
HR,2022,5,solar,0.8516129032258064
HR,2022,6,solar,0.8433333333333334
HR,2022,7,solar,0.7580645161290324
HR,2022,8,solar,0.6548387096774194
HR,2022,9,solar,0.5433333333333333
HR,2022,10,solar,0.46451612903225825
HR,2022,11,solar,0.20666666666666658
HR,2022,12,solar,0.135483870967742
HR,2022,1,wind,13.92258064516129
HR,2022,2,wind,12.589285714285714
HR,2022,3,wind,15.974193548387095
HR,2022,4,wind,16.05
HR,2022,5,wind,9.145161290322582
HR,2022,6,wind,9.533333333333335
HR,2022,7,wind,11.432258064516128
HR,2022,8,wind,13.041935483870969
HR,2022,9,wind,13.79
HR,2022,10,wind,8.867741935483869
HR,2022,11,wind,16.680000000000003
HR,2022,12,wind,12.338709677419358
HR,2023,1,ren,64.94193548387096
HR,2023,2,ren,55.36428571428572
HR,2023,3,ren,66.11612903225806
HR,2023,4,ren,58.85333333333333
HR,2023,5,ren,80.99032258064516
HR,2023,6,ren,59.286666666666655
HR,2023,7,ren,41.91612903225807
HR,2023,8,ren,47.961290322580645
HR,2023,9,ren,44.533333333333324
HR,2023,10,ren,47.264516129032266
HR,2023,11,ren,70.30666666666666
HR,2023,12,ren,65.53225806451613
HR,2023,1,solar,0.16774193548387098
HR,2023,2,solar,0.28214285714285714
HR,2023,3,solar,0.4903225806451612
HR,2023,4,solar,0.6166666666666667
HR,2023,5,solar,0.7354838709677418
HR,2023,6,solar,0.9066666666666666
HR,2023,7,solar,0.9838709677419353
HR,2023,8,solar,1.0741935483870964
HR,2023,9,solar,1.0100000000000002
HR,2023,10,solar,0.7741935483870968
HR,2023,11,solar,0.4766666666666667
HR,2023,12,solar,0.34193548387096784
HR,2023,1,wind,16.029032258064515
HR,2023,2,wind,14.792857142857143
HR,2023,3,wind,13.561290322580646
HR,2023,4,wind,16.06
HR,2023,5,wind,17.36774193548387
HR,2023,6,wind,11.209999999999999
HR,2023,7,wind,6.883870967741935
HR,2023,8,wind,11.751612903225807
HR,2023,9,wind,16.03333333333334
HR,2023,10,wind,14.758064516129036
HR,2023,11,wind,17.206666666666667
HR,2023,12,wind,15.093548387096776
HR,2024,1,ren,63.20322580645162
HR,2024,2,ren,56.679310344827584
HR,2024,3,ren,67.6741935483871
HR,2024,4,ren,59.21999999999999
HR,2024,5,ren,49.74193548387096
HR,2024,6,ren,44.67999999999999
HR,2024,7,ren,37.49032258064516
HR,2024,8,ren,34.229032258064514
HR,2024,9,ren,45.77333333333334
HR,2024,10,ren,56.37419354838709
HR,2024,11,ren,51.74666666666668
HR,2024,12,ren,50.87096774193547
HR,2024,1,solar,0.41290322580645156
HR,2024,2,solar,0.5551724137931034
HR,2024,3,solar,0.8451612903225804
HR,2024,4,solar,1.4133333333333336
HR,2024,5,solar,1.6064516129032258
HR,2024,6,solar,1.6166666666666667
HR,2024,7,solar,1.5225806451612907
HR,2024,8,solar,2.1387096774193552
HR,2024,9,solar,2.036666666666667
HR,2024,10,solar,1.590322580645161
HR,2024,11,solar,1.2399999999999995
HR,2024,12,solar,0.8451612903225806
HR,2024,1,wind,18.067741935483863
HR,2024,2,wind,14.46551724137931
HR,2024,3,wind,17.329032258064515
HR,2024,4,wind,15.873333333333333
HR,2024,5,wind,13.841935483870968
HR,2024,6,wind,7.733333333333333
HR,2024,7,wind,10.716129032258062
HR,2024,8,wind,9.20967741935484
HR,2024,9,wind,17.72666666666667
HR,2024,10,wind,12.070967741935487
HR,2024,11,wind,18.63
HR,2024,12,wind,18.387096774193548
HR,2025,1,ren,55.067741935483866
HR,2025,2,ren,45.38214285714285
HR,2025,3,ren,68.99677419354839
HR,2025,4,ren,66.6433333333333
HR,2025,5,ren,56.78709677419356
HR,2025,6,ren,45.716666666666676
HR,2025,7,ren,41.20967741935483
HR,2025,8,ren,45.4258064516129
HR,2025,9,ren,35.790000000000006
HR,2025,10,ren,45.35161290322579
HR,2025,11,ren,49.52666666666668
HR,2025,12,ren,44.787096774193536
HR,2025,1,solar,0.7870967741935485
HR,2025,2,solar,1.4499999999999997
HR,2025,3,solar,2.570967741935483
HR,2025,4,solar,3.266666666666666
HR,2025,5,solar,4.5
HR,2025,6,solar,4.803333333333333
HR,2025,7,solar,4.441935483870967
HR,2025,8,solar,4.296774193548386
HR,2025,9,solar,3.9533333333333336
HR,2025,10,solar,3.3
HR,2025,11,solar,1.9666666666666663
HR,2025,12,solar,1.5354838709677414
HR,2025,1,wind,19.20645161290323
HR,2025,2,wind,14.310714285714287
HR,2025,3,wind,21.616129032258065
HR,2025,4,wind,20.85
