country,year,month,type,pct
LV,2021,1,ren,37.71935483870968
LV,2021,2,ren,39.67857142857143
LV,2021,3,ren,71.31290322580647
LV,2021,4,ren,97.92333333333333
LV,2021,5,ren,83.25161290322579
LV,2021,6,ren,39.81666666666667
LV,2021,7,ren,18.151612903225807
LV,2021,8,ren,18.990322580645163
LV,2021,9,ren,20.78666666666667
LV,2021,10,ren,23.900000000000006
LV,2021,11,ren,35.406666666666666
LV,2021,12,ren,47.112903225806456
LV,2021,1,wind,1.167741935483871
LV,2021,2,wind,1.332142857142857
LV,2021,3,wind,2.2483870967741932
LV,2021,4,wind,2.4499999999999997
LV,2021,5,wind,1.6258064516129034
LV,2021,6,wind,0.6999999999999998
LV,2021,7,wind,1.1096774193548387
LV,2021,8,wind,1.6419354838709677
LV,2021,9,wind,1.6933333333333338
LV,2021,10,wind,2.529032258064516
LV,2021,11,wind,2.0533333333333337
LV,2021,12,wind,1.6741935483870969
LV,2022,1,ren,43.309677419354834
LV,2022,2,ren,61.36785714285715
LV,2022,3,ren,62.58709677419355
LV,2022,4,ren,108.48999999999998
LV,2022,5,ren,63.1709677419355
LV,2022,6,ren,46.226666666666674
LV,2022,7,ren,31.91290322580645
LV,2022,8,ren,19.864516129032257
LV,2022,9,ren,16.596666666666668
LV,2022,10,ren,30.083870967741934
LV,2022,11,ren,33.809999999999995
LV,2022,12,ren,33.222580645161294
LV,2022,1,wind,2.564516129032258
LV,2022,2,wind,3.0214285714285714
LV,2022,3,wind,1.1580645161290326
LV,2022,4,wind,2.1900000000000004
LV,2022,5,wind,1.6290322580645167
LV,2022,6,wind,0.9333333333333335
LV,2022,7,wind,2.4129032258064513
LV,2022,8,wind,2.1935483870967736
LV,2022,9,wind,2.523333333333333
LV,2022,10,wind,4.996774193548388
LV,2022,11,wind,2.8400000000000003
LV,2022,12,wind,3.7870967741935475
LV,2023,1,ren,114.53870967741935
LV,2023,2,ren,74.18928571428569
LV,2023,3,ren,107.34838709677423
LV,2023,4,ren,184.0966666666667
LV,2023,5,ren,62.80645161290322
LV,2023,6,ren,22.24666666666667
LV,2023,7,ren,18.6
LV,2023,8,ren,20.645161290322577
LV,2023,9,ren,20.483333333333338
LV,2023,10,ren,26.283870967741933
LV,2023,11,ren,50.099999999999994
LV,2023,12,ren,61.91290322580645
LV,2023,1,wind,5.225806451612902
LV,2023,2,wind,4.453571428571428
LV,2023,3,wind,5.13225806451613
LV,2023,4,wind,3.446666666666667
LV,2023,5,wind,2.7806451612903222
LV,2023,6,wind,1.9433333333333338
LV,2023,7,wind,4.380645161290322
LV,2023,8,wind,2.6548387096774193
LV,2023,9,wind,3.546666666666667
LV,2023,10,wind,6.216129032258063
LV,2023,11,wind,2.933333333333334
LV,2023,12,wind,3.63225806451613
LV,2024,1,ren,61.31612903225807
LV,2024,2,ren,75.03448275862068
LV,2024,3,ren,132.10967741935482
LV,2024,4,ren,135.31
LV,2024,5,ren,92.68387096774194
LV,2024,6,ren,46.48666666666667
LV,2024,7,ren,38.83548387096774
LV,2024,8,ren,38.77096774193548
LV,2024,9,ren,29.22666666666667
LV,2024,10,ren,26.032258064516128
LV,2024,11,ren,31.073333333333327
LV,2024,12,ren,37.61290322580645
LV,2024,1,solar,0.19354838709677422
LV,2024,2,solar,0.6827586206896551
LV,2024,3,solar,3.8548387096774204
LV,2024,4,solar,4.879999999999999
LV,2024,5,solar,11.551612903225804
LV,2024,6,solar,12.560000000000004
LV,2024,7,solar,11.180645161290322
LV,2024,8,solar,12.048387096774194
LV,2024,9,solar,10.423333333333336
LV,2024,10,solar,4.690322580645162
LV,2024,11,solar,1.1
LV,2024,12,solar,0.5129032258064516
LV,2024,1,wind,5.225806451612903
LV,2024,2,wind,4.382758620689655
LV,2024,3,wind,3.9032258064516125
LV,2024,4,wind,3.7466666666666675
LV,2024,5,wind,2.577419354838709
LV,2024,6,wind,2.723333333333333
LV,2024,7,wind,3.209677419354838
LV,2024,8,wind,2.5580645161290314
LV,2024,9,wind,2.8699999999999997
LV,2024,10,wind,4.016129032258065
LV,2024,11,wind,5.016666666666667
LV,2024,12,wind,5.919354838709674
LV,2025,1,ren,63.92258064516129
LV,2025,2,ren,48.375
LV,2025,3,ren,63.91290322580646
LV,2025,4,ren,63.493333333333325
LV,2025,5,ren,68.5483870967742
LV,2025,6,ren,92.31666666666668
LV,2025,7,ren,71.42258064516129
LV,2025,8,ren,65.10967741935484
LV,2025,9,ren,43.14666666666667
LV,2025,10,ren,31.087096774193547
LV,2025,11,ren,44.39333333333333
LV,2025,12,ren,57.26129032258064
LV,2025,1,solar,0.5870967741935484
LV,2025,2,solar,2.682142857142857
LV,2025,3,solar,8.022580645161291
LV,2025,4,solar,13.890000000000004
LV,2025,5,solar,15.116129032258069
LV,2025,6,solar,16.4
LV,2025,7,solar,19.009677419354837
LV,2025,8,solar,17.825806451612905
LV,2025,9,solar,14.870000000000001
LV,2025,10,solar,7.751612903225806
LV,2025,11,solar,2.3033333333333337
LV,2025,12,solar,1.1
LV,2025,1,wind,4.848387096774193
LV,2025,2,wind,2.003571428571429
LV,2025,3,wind,3.887096774193547
LV,2025,4,wind,3.020000000000001
LV,2025,5,wind,2.7774193548387096
LV,2025,6,wind,2.4633333333333325
LV,2025,7,wind,1.1838709677419355
LV,2025,8,wind,1.509677419354839
LV,2025,9,wind,2.5266666666666664
LV,2025,10,wind,2.1451612903225805
LV,2025,11,wind,2.6999999999999997
LV,2025,12,wind,3.725806451612903
