country,year,month,type,pct
MK,2021,1,ren,17.835483870967742
MK,2021,2,ren,21.446428571428562
MK,2021,3,ren,21.964516129032262
MK,2021,4,ren,10.470000000000002
MK,2021,5,ren,17.700000000000003
MK,2021,6,ren,18.259999999999998
MK,2021,7,ren,18.787096774193543
MK,2021,8,ren,21.4258064516129
MK,2021,9,ren,8.870000000000001
MK,2021,10,ren,8.587096774193546
MK,2021,11,ren,9.229999999999997
MK,2021,12,ren,13.583870967741932
MK,2021,1,wind,1.448387096774194
MK,2021,2,wind,1.2285714285714284
MK,2021,3,wind,1.506451612903226
MK,2021,4,wind,1.2999999999999998
MK,2021,5,wind,2.028
MK,2021,6,wind,1.9433333333333336
MK,2021,7,wind,1.5064516129032255
MK,2021,8,wind,1.2709677419354837
MK,2021,9,wind,1.1866666666666668
MK,2021,10,wind,1.1161290322580646
MK,2021,11,wind,0.8366666666666666
MK,2021,12,wind,1.6741935483870967
MK,2022,1,ren,17.380645161290325
MK,2022,2,ren,6.446428571428571
MK,2022,3,ren,9.503225806451614
MK,2022,4,ren,21.78666666666667
MK,2022,5,ren,18.8258064516129
MK,2022,6,ren,14.216666666666669
MK,2022,7,ren,19.87096774193548
MK,2022,8,ren,19.293548387096774
MK,2022,9,ren,20.506666666666668
MK,2022,10,ren,20.003225806451614
MK,2022,11,ren,18.093333333333337
MK,2022,12,ren,22.222580645161294
MK,2022,1,wind,2.0612903225806454
MK,2022,2,wind,1.4499999999999997
MK,2022,3,wind,1.3451612903225807
MK,2022,4,wind,1.4366666666666668
MK,2022,5,wind,1.2064516129032257
MK,2022,6,wind,1.8033333333333335
MK,2022,7,wind,2.870967741935484
MK,2022,8,wind,2.2516129032258063
MK,2022,9,wind,1.9766666666666663
MK,2022,10,wind,1.9774193548387098
MK,2022,11,wind,1.5333333333333334
MK,2022,12,wind,1.0806451612903225
MK,2023,1,ren,25.78709677419355
MK,2023,2,ren,24.164285714285715
MK,2023,3,ren,30.193548387096783
MK,2023,4,ren,20.37333333333334
MK,2023,5,ren,16.487096774193546
MK,2023,6,ren,16.32
MK,2023,7,ren,23.216129032258067
MK,2023,8,ren,21.190322580645166
MK,2023,9,ren,17.013333333333335
MK,2023,10,ren,22.46129032258065
MK,2023,11,ren,21.050000000000004
MK,2023,12,ren,19.893548387096775
MK,2023,1,wind,2.1677419354838707
MK,2023,2,wind,2.0892857142857144
MK,2023,3,wind,1.538709677419355
MK,2023,4,wind,2.1366666666666663
MK,2023,5,wind,1.4483870967741936
MK,2023,6,wind,2.31
MK,2023,7,wind,2.106451612903226
MK,2023,8,wind,2.0225806451612898
MK,2023,9,wind,1.1333333333333333
MK,2023,10,wind,1.558064516129033
MK,2023,11,wind,1.49
MK,2023,12,wind,1.693548387096774
MK,2024,1,ren,18.670967741935485
MK,2024,2,ren,18.04
MK,2024,3,ren,19.270967741935486
MK,2024,4,ren,17.186666666666667
MK,2024,5,ren,27.210344827586212
MK,2024,6,ren,26.932142857142857
MK,2024,7,ren,32.62666666666667
MK,2024,8,ren,27.24285714285714
MK,2024,9,ren,16.567857142857143
MK,2024,10,ren,19.14333333333333
MK,2024,11,ren,14.265517241379312
MK,2024,12,ren,16.655172413793107
MK,2024,1,wind,2.0064516129032257
MK,2024,2,wind,1.5840000000000003
MK,2024,3,wind,1.925806451612903
MK,2024,4,wind,2.363333333333334
MK,2024,5,wind,2.310344827586207
MK,2024,6,wind,1.9392857142857143
MK,2024,7,wind,2.29
MK,2024,8,wind,2.0285714285714285
MK,2024,9,wind,1.7535714285714283
MK,2024,10,wind,2.036666666666667
MK,2024,11,wind,2.03448275862069
MK,2024,12,wind,1.917241379310345
MK,2025,1,ren,14.73225806451613
MK,2025,2,ren,11.917857142857143
MK,2025,3,ren,12.285714285714286
MK,2025,4,ren,18.227272727272723
MK,2025,5,ren,21.71666666666667
MK,2025,6,ren,24.73333333333333
MK,2025,7,ren,21.758333333333336
MK,2025,8,ren,16.525
MK,2025,9,ren,13.887499999999998
MK,2025,10,ren,20.093548387096774
MK,2025,11,ren,21.974999999999998
MK,2025,12,ren,25.664516129032254
MK,2025,1,wind,1.0774193548387094
MK,2025,2,wind,1.267857142857143
MK,2025,3,wind,1.3142857142857143
MK,2025,4,wind,1.95
MK,2025,5,wind,3.308333333333333
MK,2025,6,wind,3.0416666666666665
MK,2025,7,wind,2.7624999999999993
MK,2025,8,wind,2.0599999999999996
MK,2025,9,wind,1.9000000000000001
MK,2025,10,wind,2.5483870967741935
MK,2025,11,wind,1.610714285714286
MK,2025,12,wind,1.9129032258064518
