country,year,month,type,pct
NL,2021,1,ren,12.46451612903226
NL,2021,2,ren,16.664285714285715
NL,2021,3,ren,14.561290322580646
NL,2021,4,ren,14.243333333333336
NL,2021,5,ren,13.361290322580647
NL,2021,6,ren,8.633333333333333
NL,2021,7,ren,11.106451612903228
NL,2021,8,ren,14.932258064516128
NL,2021,9,ren,9.836666666666668
NL,2021,10,ren,18.454838709677425
NL,2021,11,ren,13.976666666666668
NL,2021,12,ren,16.861290322580647
NL,2021,1,solar,0.054838709677419356
NL,2021,2,solar,0.17142857142857143
NL,2021,3,solar,0.3387096774193548
NL,2021,4,solar,0.63
NL,2021,5,solar,0.6903225806451613
NL,2021,6,solar,0.8266666666666665
NL,2021,7,solar,0.6935483870967742
NL,2021,8,solar,0.632258064516129
NL,2021,9,solar,0.4366666666666667
NL,2021,10,solar,0.26774193548387093
NL,2021,11,solar,0.10666666666666672
NL,2021,12,solar,0.05384615384615384
NL,2021,1,wind,10.925806451612903
NL,2021,2,wind,15.103571428571428
NL,2021,3,wind,12.545161290322582
NL,2021,4,wind,11.933333333333334
NL,2021,5,wind,10.732258064516131
NL,2021,6,wind,6.176666666666666
NL,2021,7,wind,8.522580645161291
NL,2021,8,wind,12.258064516129034
NL,2021,9,wind,7.6866666666666665
NL,2021,10,wind,16.622580645161293
NL,2021,11,wind,12.323333333333332
NL,2021,12,wind,15.200000000000001
NL,2022,1,ren,17.58064516129032
NL,2022,2,ren,25.910714285714285
NL,2022,3,ren,14.432258064516132
NL,2022,4,ren,18.746666666666663
NL,2022,5,ren,14.606451612903223
NL,2022,6,ren,13.009999999999998
NL,2022,7,ren,12.319354838709677
NL,2022,8,ren,11.658064516129029
NL,2022,9,ren,14.923333333333336
NL,2022,10,ren,19.45161290322581
NL,2022,11,ren,22.823333333333338
NL,2022,12,ren,18.29354838709677
NL,2022,1,solar,0.0741935483870968
NL,2022,2,solar,0.2285714285714286
NL,2022,3,solar,0.6354838709677422
NL,2022,4,solar,0.756666666666667
NL,2022,5,solar,0.8709677419354839
NL,2022,6,solar,0.9266666666666669
NL,2022,7,solar,0.8225806451612903
NL,2022,8,solar,0.9258064516129032
NL,2022,9,solar,0.64
NL,2022,10,solar,0.38709677419354843
NL,2022,11,solar,0.15999999999999998
NL,2022,12,solar,0.07000000000000002
NL,2022,1,wind,16.03548387096774
NL,2022,2,wind,24.075000000000006
NL,2022,3,wind,11.980645161290322
NL,2022,4,wind,16.32333333333333
NL,2022,5,wind,11.725806451612902
NL,2022,6,wind,9.873333333333335
NL,2022,7,wind,9.30967741935484
NL,2022,8,wind,8.49032258064516
NL,2022,9,wind,12.250000000000004
NL,2022,10,wind,17.216129032258063
NL,2022,11,wind,21.099999999999998
NL,2022,12,wind,16.56774193548387
NL,2023,1,ren,24.0258064516129
NL,2023,2,ren,18.810714285714287
NL,2023,3,ren,24.712903225806457
NL,2023,4,ren,16.96
NL,2023,5,ren,15.225806451612906
NL,2023,6,ren,14.986666666666668
NL,2023,7,ren,21.26129032258065
NL,2023,8,ren,15.554838709677421
NL,2023,9,ren,13.57
NL,2023,10,ren,23.91612903225807
NL,2023,11,ren,25.32333333333333
NL,2023,12,ren,27.606451612903225
NL,2023,1,solar,0.11290322580645165
NL,2023,2,solar,0.24285714285714283
NL,2023,3,solar,0.4645161290322581
NL,2023,4,solar,0.7499999999999999
NL,2023,5,solar,0.9129032258064518
NL,2023,6,solar,1.1366666666666667
NL,2023,7,solar,0.8032258064516128
NL,2023,8,solar,0.7193548387096773
NL,2023,9,solar,0.6566666666666668
NL,2023,10,solar,0.264516129032258
NL,2023,11,solar,0.10666666666666672
NL,2023,12,solar,0.05161290322580646
NL,2023,1,wind,22.193548387096772
NL,2023,2,wind,16.792857142857144
NL,2023,3,wind,22.5258064516129
NL,2023,4,wind,14.683333333333334
NL,2023,5,wind,12.687096774193547
NL,2023,6,wind,12.403333333333332
NL,2023,7,wind,18.664516129032258
NL,2023,8,wind,12.890322580645156
NL,2023,9,wind,11.373333333333335
NL,2023,10,wind,22.367741935483874
NL,2023,11,wind,23.95
NL,2023,12,wind,26.290322580645164
NL,2024,1,ren,25.08387096774193
NL,2024,2,ren,27.19310344827586
NL,2024,3,ren,23.025806451612898
NL,2024,4,ren,29.236666666666668
NL,2024,5,ren,15.941935483870969
NL,2024,6,ren,16.973333333333333
NL,2024,7,ren,17.51612903225806
NL,2024,8,ren,17.187096774193545
NL,2024,9,ren,21.026666666666664
NL,2024,10,ren,18.780645161290316
NL,2024,11,ren,19.146666666666665
NL,2024,12,ren,26.63870967741936
NL,2024,1,solar,0.08709677419354839
NL,2024,2,solar,0.14827586206896556
NL,2024,3,solar,0.39354838709677414
NL,2024,4,solar,0.6066666666666668
NL,2024,5,solar,0.7870967741935483
NL,2024,6,solar,0.7899999999999999
NL,2024,7,solar,0.7741935483870968
NL,2024,8,solar,0.732258064516129
NL,2024,9,solar,0.58
NL,2024,10,solar,0.31612903225806455
NL,2024,11,solar,0.10666666666666672
NL,2024,12,solar,0.037037037037037035
NL,2024,1,wind,23.732258064516127
NL,2024,2,wind,25.703448275862065
NL,2024,3,wind,21.11290322580646
NL,2024,4,wind,27.226666666666667
NL,2024,5,wind,13.600000000000001
NL,2024,6,wind,14.74
NL,2024,7,wind,15.025806451612905
NL,2024,8,wind,14.809677419354836
NL,2024,9,wind,19.17
NL,2024,10,wind,17.31612903225807
NL,2024,11,wind,18.043333333333333
NL,2024,12,wind,25.35483870967742
NL,2025,1,ren,19.425806451612903
NL,2025,2,ren,20.50714285714285
NL,2025,3,ren,15.883870967741936
NL,2025,4,ren,15.973333333333334
NL,2025,5,ren,22.987096774193546
NL,2025,6,ren,20.41
NL,2025,7,ren,16.303225806451614
NL,2025,8,ren,17.64838709677419
NL,2025,9,ren,26.963333333333328
NL,2025,10,ren,25.467741935483875
NL,2025,11,ren,28.369999999999997
NL,2025,12,ren,30.10967741935483
NL,2025,1,solar,0.08709677419354843
NL,2025,2,solar,0.19999999999999998
NL,2025,3,solar,0.6000000000000002
NL,2025,4,solar,0.66
NL,2025,5,solar,0.7483870967741936
NL,2025,6,solar,0.6966666666666667
NL,2025,7,solar,0.7580645161290323
NL,2025,8,solar,0.6741935483870969
NL,2025,9,solar,0.47
NL,2025,10,solar,0.25483870967741934
NL,2025,11,solar,0.13000000000000006
NL,2025,12,solar,0.0741935483870968
NL,2025,1,wind,18.158064516129027
NL,2025,2,wind,19.057142857142857
NL,2025,3,wind,13.87741935483871
NL,2025,4,wind,13.863333333333335
NL,2025,5,wind,20.880645161290328
