country,year,month,type,pct
NO,2021,1,ren,104.05161290322582
NO,2021,2,ren,96.64999999999999
NO,2021,3,ren,97.6806451612903
NO,2021,4,ren,99.72
NO,2021,5,ren,108.33870967741936
NO,2021,6,ren,120.65666666666667
NO,2021,7,ren,115.25161290322583
NO,2021,8,ren,101.87096774193546
NO,2021,9,ren,108.75333333333332
NO,2021,10,ren,105.31290322580647
NO,2021,11,ren,113.05666666666666
NO,2021,12,ren,107.26451612903229
NO,2021,1,wind,4.938709677419355
NO,2021,2,wind,7.282142857142858
NO,2021,3,wind,8.316129032258065
NO,2021,4,wind,6.86
NO,2021,5,wind,4.554838709677419
NO,2021,6,wind,6.266666666666667
NO,2021,7,wind,7.003225806451612
NO,2021,8,wind,5.716129032258065
NO,2021,9,wind,8.979999999999999
NO,2021,10,wind,12.25806451612903
NO,2021,11,wind,10.293333333333333
NO,2021,12,wind,9.793548387096775
NO,2022,1,ren,105.40967741935486
NO,2022,2,ren,100.60714285714288
NO,2022,3,ren,112.62580645161289
NO,2022,4,ren,98.56
NO,2022,5,ren,104.83225806451615
NO,2022,6,ren,124.19
NO,2022,7,ren,119.01612903225806
NO,2022,8,ren,118.18709677419358
NO,2022,9,ren,91.17333333333333
NO,2022,10,ren,101.1838709677419
NO,2022,11,ren,122.09999999999998
NO,2022,12,ren,102.47741935483867
NO,2022,1,wind,12.564516129032256
NO,2022,2,wind,12.317857142857145
NO,2022,3,wind,11.116129032258065
NO,2022,4,wind,7.6833333333333345
NO,2022,5,wind,11.445161290322577
NO,2022,6,wind,8.089999999999998
NO,2022,7,wind,10.587096774193549
NO,2022,8,wind,9.438709677419357
NO,2022,9,wind,11.260000000000002
NO,2022,10,wind,13.93548387096774
NO,2022,11,wind,15.106666666666673
NO,2022,12,wind,10.554838709677421
NO,2023,1,ren,99.51612903225805
NO,2023,2,ren,111.28214285714287
NO,2023,3,ren,103.60322580645162
NO,2023,4,ren,107.94666666666667
NO,2023,5,ren,111.48064516129031
NO,2023,6,ren,126.87666666666668
NO,2023,7,ren,130.1258064516129
NO,2023,8,ren,131.26129032258063
NO,2023,9,ren,129.48666666666665
NO,2023,10,ren,111.44193548387098
NO,2023,11,ren,103.05666666666666
NO,2023,12,ren,90.91935483870967
NO,2023,1,wind,12.229032258064516
NO,2023,2,wind,12.442857142857141
NO,2023,3,wind,9.203225806451611
NO,2023,4,wind,10.143333333333336
NO,2023,5,wind,11.858064516129033
NO,2023,6,wind,7.866666666666666
NO,2023,7,wind,7.267741935483872
NO,2023,8,wind,8.035483870967742
NO,2023,9,wind,11.756666666666666
NO,2023,10,wind,11.78709677419355
NO,2023,11,wind,10.123333333333333
NO,2023,12,wind,10.235483870967744
NO,2024,1,ren,97.07096774193549
NO,2024,2,ren,101.82413793103447
NO,2024,3,ren,108.80322580645162
NO,2024,4,ren,106.36666666666669
NO,2024,5,ren,120.88064516129032
NO,2024,6,ren,120.73666666666665
NO,2024,7,ren,120.15806451612903
NO,2024,8,ren,115.19999999999999
NO,2024,9,ren,117.63666666666668
NO,2024,10,ren,109.35161290322581
NO,2024,11,ren,112.35666666666665
NO,2024,12,ren,111.59354838709677
NO,2024,1,wind,11.422580645161291
NO,2024,2,wind,11.441379310344827
NO,2024,3,wind,10.345161290322581
NO,2024,4,wind,10.113333333333335
NO,2024,5,wind,7.983870967741937
NO,2024,6,wind,10.173333333333336
NO,2024,7,wind,7.12258064516129
NO,2024,8,wind,12.106451612903227
NO,2024,9,wind,9.893333333333336
NO,2024,10,wind,12.177419354838706
NO,2024,11,wind,10.666666666666666
NO,2024,12,wind,12.809677419354838
NO,2025,1,ren,113.07419354838711
NO,2025,2,ren,117.075
NO,2025,3,ren,112.45483870967742
NO,2025,4,ren,114.89
NO,2025,5,ren,110.36129032258066
NO,2025,6,ren,112.77
NO,2025,7,ren,121.98064516129035
NO,2025,8,ren,112.69677419354839
NO,2025,9,ren,115.36999999999999
NO,2025,10,ren,110.21290322580643
NO,2025,11,ren,112.7
NO,2025,12,ren,112.01935483870969
NO,2025,1,wind,9.606451612903227
NO,2025,2,wind,9.453571428571427
NO,2025,3,wind,11.09032258064516
NO,2025,4,wind,8.596666666666668
NO,2025,5,wind,9.193548387096776
NO,2025,6,wind,8.846666666666668
NO,2025,7,wind,4.770967741935484
NO,2025,8,wind,10.403225806451612
NO,2025,9,wind,11.059999999999999
NO,2025,10,wind,12.451612903225806
NO,2025,11,wind,9.596666666666668
NO,2025,12,wind,12.06451612903226
