country,year,month,type,pct
RS,2021,1,ren,38.38064516129033
RS,2021,2,ren,43.52142857142858
RS,2021,3,ren,35.96451612903226
RS,2021,4,ren,41.08666666666666
RS,2021,5,ren,49.374193548387105
RS,2021,6,ren,38.73666666666667
RS,2021,7,ren,29.932258064516137
RS,2021,8,ren,26.287096774193557
RS,2021,9,ren,23.32333333333333
RS,2021,10,ren,17.94516129032258
RS,2021,11,ren,22.35
RS,2021,12,ren,29.803225806451604
RS,2022,1,ren,28.367741935483878
RS,2022,2,ren,25.899999999999995
RS,2022,3,ren,26.096774193548384
RS,2022,4,ren,37.78000000000001
RS,2022,5,ren,38.69677419354839
RS,2022,6,ren,30.106666666666666
RS,2022,7,ren,20.751612903225812
RS,2022,8,ren,17.764516129032256
RS,2022,9,ren,22.90666666666667
RS,2022,10,ren,23.9516129032258
RS,2022,11,ren,23.389999999999997
RS,2022,12,ren,35.438709677419354
RS,2022,1,wind,0.0
RS,2022,2,wind,0.0
RS,2022,3,wind,0.9032258064516129
RS,2022,4,wind,3.0899999999999994
RS,2022,5,wind,3.0419354838709673
RS,2022,6,wind,1.9933333333333336
RS,2022,7,wind,2.2838709677419353
RS,2022,8,wind,1.0870967741935484
RS,2022,9,wind,2.3200000000000003
RS,2022,10,wind,2.6548387096774193
RS,2022,11,wind,2.5633333333333335
RS,2022,12,wind,3.8
RS,2023,1,ren,38.174193548387095
RS,2023,2,ren,35.29285714285715
RS,2023,3,ren,46.264516129032245
RS,2023,4,ren,46.983333333333334
RS,2023,5,ren,54.13548387096775
RS,2023,6,ren,56.80666666666668
RS,2023,7,ren,31.90967741935484
RS,2023,8,ren,31.567741935483884
RS,2023,9,ren,26.813333333333333
RS,2023,10,ren,20.687096774193545
RS,2023,11,ren,40.366666666666674
RS,2023,12,ren,45.403225806451616
RS,2023,1,wind,3.2516129032258063
RS,2023,2,wind,2.682142857142857
RS,2023,3,wind,3.358064516129032
RS,2023,4,wind,2.6666666666666674
RS,2023,5,wind,3.7258064516129044
RS,2023,6,wind,2.0066666666666664
RS,2023,7,wind,1.567741935483871
RS,2023,8,wind,1.6290322580645162
RS,2023,9,wind,2.613333333333333
RS,2023,10,wind,3.6032258064516136
RS,2023,11,wind,4.0233333333333325
RS,2023,12,wind,1.938709677419355
RS,2024,1,ren,40.70645161290322
RS,2024,2,ren,43.36896551724138
RS,2024,3,ren,42.23225806451614
RS,2024,4,ren,41.07
RS,2024,5,ren,38.62580645161292
RS,2024,6,ren,39.486666666666665
RS,2024,7,ren,30.719354838709684
RS,2024,8,ren,20.24516129032258
RS,2024,9,ren,28.416666666666668
RS,2024,10,ren,35.25483870967742
RS,2024,11,ren,21.716666666666672
RS,2024,12,ren,24.329032258064522
RS,2024,1,wind,2.3419354838709676
RS,2024,2,wind,4.106896551724137
RS,2024,3,wind,4.8032258064516125
RS,2024,4,wind,3.8100000000000005
RS,2024,5,wind,4.570967741935483
RS,2024,6,wind,1.8966666666666663
RS,2024,7,wind,2.1741935483870964
RS,2024,8,wind,1.62258064516129
RS,2024,9,wind,4.3166666666666655
RS,2024,10,wind,4.083870967741936
RS,2024,11,wind,2.986666666666667
RS,2024,12,wind,2.52258064516129
RS,2025,1,ren,29.11935483870968
RS,2025,2,ren,27.546428571428578
RS,2025,3,ren,35.358064516129026
RS,2025,4,ren,43.22666666666666
RS,2025,5,ren,34.55483870967741
RS,2025,6,ren,25.623333333333324
RS,2025,7,ren,19.74838709677419
RS,2025,8,ren,24.03870967741936
RS,2025,9,ren,23.730000000000004
RS,2025,10,ren,21.783870967741937
RS,2025,11,ren,27.52
RS,2025,12,ren,27.554838709677412
RS,2025,1,wind,3.2645161290322573
RS,2025,2,wind,4.778571428571428
RS,2025,3,wind,4.970967741935485
RS,2025,4,wind,5.0
RS,2025,5,wind,3.3483870967741933
RS,2025,6,wind,2.923333333333333
RS,2025,7,wind,2.745161290322581
RS,2025,8,wind,3.958064516129032
RS,2025,9,wind,5.286666666666666
RS,2025,10,wind,4.261290322580645
RS,2025,11,wind,3.7233333333333336
RS,2025,12,wind,3.377419354838709
