country,year,month,type,pct
SI,2021,1,ren,35.97419354838709
SI,2021,2,ren,39.98214285714285
SI,2021,3,ren,29.722580645161294
SI,2021,4,ren,34.06333333333333
SI,2021,5,ren,64.7967741935484
SI,2021,6,ren,56.519999999999996
SI,2021,7,ren,42.0516129032258
SI,2021,8,ren,40.08064516129032
SI,2021,9,ren,22.763333333333335
SI,2021,10,ren,22.038709677419355
SI,2021,11,ren,26.433333333333326
SI,2021,12,ren,21.635483870967747
SI,2021,1,solar,0.5258064516129033
SI,2021,2,solar,1.3678571428571427
SI,2021,3,solar,2.177419354838709
SI,2021,4,solar,2.25
SI,2021,5,solar,2.574193548387096
SI,2021,6,solar,3.67
SI,2021,7,solar,3.174193548387097
SI,2021,8,solar,2.961290322580646
SI,2021,9,solar,2.589999999999999
SI,2021,10,solar,1.4451612903225806
SI,2021,11,solar,0.63
SI,2021,12,solar,0.3838709677419355
SI,2021,1,wind,0.03870967741935484
SI,2021,2,wind,0.0035714285714285718
SI,2021,3,wind,0.03225806451612903
SI,2021,4,wind,0.03333333333333333
SI,2021,5,wind,0.03225806451612903
SI,2021,6,wind,0.010000000000000002
SI,2021,7,wind,0.02258064516129032
SI,2021,8,wind,0.02258064516129032
SI,2021,9,wind,0.016666666666666666
SI,2021,10,wind,0.029032258064516127
SI,2021,11,wind,0.026666666666666665
SI,2021,12,wind,0.022222222222222223
SI,2022,1,ren,20.44516129032258
SI,2022,2,ren,16.439285714285713
SI,2022,3,ren,16.4
SI,2022,4,ren,28.61333333333333
SI,2022,5,ren,35.09032258064517
SI,2022,6,ren,30.96999999999999
SI,2022,7,ren,23.664516129032258
SI,2022,8,ren,22.570967741935487
SI,2022,9,ren,30.42666666666667
SI,2022,10,ren,32.41612903225807
SI,2022,11,ren,25.076666666666664
SI,2022,12,ren,30.261290322580642
SI,2022,1,solar,0.8483870967741935
SI,2022,2,solar,1.3214285714285714
SI,2022,3,solar,2.296774193548387
SI,2022,4,solar,2.5799999999999996
SI,2022,5,solar,3.096774193548387
SI,2022,6,solar,3.3500000000000005
SI,2022,7,solar,3.24516129032258
SI,2022,8,solar,2.9741935483870963
SI,2022,9,solar,2.0766666666666667
SI,2022,10,solar,1.906451612903226
SI,2022,11,solar,0.8033333333333335
SI,2022,12,solar,0.38387096774193546
SI,2022,1,wind,0.009677419354838712
SI,2022,2,wind,0.0071428571428571435
SI,2022,3,wind,0.03225806451612903
SI,2022,4,wind,0.02
SI,2022,5,wind,0.025806451612903222
SI,2022,6,wind,0.006666666666666667
SI,2022,7,wind,0.03548387096774193
SI,2022,8,wind,0.03225806451612903
SI,2022,9,wind,0.02333333333333333
SI,2022,10,wind,0.025806451612903222
SI,2022,11,wind,0.03666666666666666
SI,2022,12,wind,0.04285714285714286
SI,2023,1,ren,27.880645161290317
SI,2023,2,ren,22.460714285714282
SI,2023,3,ren,28.335483870967742
SI,2023,4,ren,38.14
SI,2023,5,ren,58.35806451612904
SI,2023,6,ren,53.606666666666676
SI,2023,7,ren,60.13870967741937
SI,2023,8,ren,66.34193548387098
SI,2023,9,ren,46.05999999999999
SI,2023,10,ren,42.29354838709676
SI,2023,11,ren,50.77000000000001
SI,2023,12,ren,42.76129032258064
SI,2023,1,solar,0.5161290322580644
SI,2023,2,solar,1.2464285714285712
SI,2023,3,solar,1.9096774193548394
SI,2023,4,solar,2.906666666666667
SI,2023,5,solar,3.2129032258064525
SI,2023,6,solar,4.133333333333334
SI,2023,7,solar,4.338709677419355
SI,2023,8,solar,4.216129032258064
SI,2023,9,solar,4.719999999999999
SI,2023,10,solar,3.27741935483871
SI,2023,11,solar,1.86
SI,2023,12,solar,1.235483870967742
SI,2023,1,wind,0.029032258064516127
SI,2023,2,wind,0.025
SI,2023,3,wind,0.01935483870967742
SI,2023,4,wind,0.029999999999999995
SI,2023,5,wind,0.07741935483870971
SI,2023,6,wind,0.029999999999999995
SI,2023,7,wind,0.029032258064516127
SI,2023,8,wind,0.03548387096774193
SI,2023,9,wind,0.05000000000000001
SI,2023,10,wind,0.041935483870967745
SI,2023,11,wind,0.029999999999999995
SI,2023,12,wind,0.027999999999999997
SI,2024,1,ren,36.964516129032255
SI,2024,2,ren,37.224137931034484
SI,2024,3,ren,46.58064516129032
SI,2024,4,ren,58.196666666666665
SI,2024,5,ren,69.65483870967742
SI,2024,6,ren,72.10666666666667
SI,2024,7,ren,53.209677419354826
SI,2024,8,ren,38.616129032258065
SI,2024,9,ren,48.58333333333333
SI,2024,10,ren,62.60322580645162
SI,2024,11,ren,30.62666666666667
SI,2024,12,ren,22.04193548387097
SI,2024,1,solar,1.0161290322580645
SI,2024,2,solar,2.575862068965517
SI,2024,3,solar,3.8935483870967746
SI,2024,4,solar,6.363333333333332
SI,2024,5,solar,6.538709677419356
SI,2024,6,solar,7.92
SI,2024,7,solar,8.183870967741935
SI,2024,8,solar,8.170967741935485
SI,2024,9,solar,4.669999999999999
SI,2024,10,solar,2.870967741935484
SI,2024,11,solar,1.8166666666666667
SI,2024,12,solar,1.0161290322580647
SI,2024,1,wind,0.048387096774193554
SI,2024,2,wind,0.017241379310344827
SI,2024,3,wind,0.025806451612903222
SI,2024,4,wind,0.05
SI,2024,5,wind,0.03225806451612903
SI,2024,6,wind,0.03666666666666666
SI,2024,7,wind,0.04516129032258064
SI,2024,8,wind,0.041935483870967745
SI,2024,9,wind,0.06000000000000001
SI,2024,10,wind,0.08064516129032259
SI,2024,11,wind,0.07666666666666669
SI,2024,12,wind,0.05000000000000001
SI,2025,1,ren,27.93870967741936
SI,2025,2,ren,23.65357142857143
SI,2025,3,ren,40.674193548387095
SI,2025,4,ren,50.18999999999998
SI,2025,5,ren,59.97096774193548
SI,2025,6,ren,49.07666666666667
SI,2025,7,ren,41.57419354838709
SI,2025,8,ren,40.270967741935486
SI,2025,9,ren,44.10333333333333
SI,2025,10,ren,36.122580645161285
SI,2025,11,ren,37.67666666666665
SI,2025,12,ren,22.912903225806453
SI,2025,1,solar,1.103225806451613
SI,2025,2,solar,1.8571428571428572
SI,2025,3,solar,4.254838709677418
SI,2025,4,solar,6.816666666666666
SI,2025,5,solar,8.258064516129032
SI,2025,6,solar,10.71
SI,2025,7,solar,8.306451612903228
SI,2025,8,solar,9.187096774193549
SI,2025,9,solar,12.716666666666669
SI,2025,10,solar,9.022580645161291
SI,2025,11,solar,5.173333333333334
SI,2025,12,solar,3.1516129032258067
SI,2025,1,wind,0.05806451612903226
SI,2025,2,wind,0.07500000000000002
SI,2025,3,wind,0.06129032258064518
SI,2025,4,wind,0.060000000000000005
SI,2025,5,wind,0.05483870967741937
SI,2025,6,wind,0.046666666666666676
SI,2025,7,wind,0.029032258064516127
SI,2025,8,wind,0.07096774193548387
SI,2025,9,wind,0.03333333333333333
SI,2025,10,wind,0.03548387096774193
SI,2025,11,wind,0.07
SI,2025,12,wind,0.05
