country,year,month,type,pct
SK,2021,1,ren,18.81935483870969
SK,2021,2,ren,24.264285714285712
SK,2021,3,ren,21.06774193548387
SK,2021,4,ren,21.889999999999997
SK,2021,5,ren,29.445161290322584
SK,2021,6,ren,24.28666666666667
SK,2021,7,ren,23.02258064516129
SK,2021,8,ren,24.538709677419355
SK,2021,9,ren,20.683333333333334
SK,2021,10,ren,15.80322580645161
SK,2021,11,ren,13.03
SK,2021,12,ren,14.432258064516128
SK,2021,1,solar,0.5741935483870968
SK,2021,2,solar,1.0285714285714285
SK,2021,3,solar,1.8580645161290326
SK,2021,4,solar,2.1133333333333337
SK,2021,5,solar,2.338709677419355
SK,2021,6,solar,3.0000000000000004
SK,2021,7,solar,2.616129032258064
SK,2021,8,solar,2.3290322580645157
SK,2021,9,solar,2.2400000000000007
SK,2021,10,solar,1.8129032258064517
SK,2021,11,solar,0.7933333333333333
SK,2021,12,solar,0.4774193548387096
SK,2021,1,wind,0.0
SK,2021,2,wind,0.0
SK,2021,3,wind,0.0
SK,2021,4,wind,0.013333333333333334
SK,2021,5,wind,0.009677419354838712
SK,2021,6,wind,0.0033333333333333335
SK,2021,7,wind,0.0
SK,2021,8,wind,0.0
SK,2021,9,wind,0.0
SK,2021,10,wind,0.0032258064516129032
SK,2021,11,wind,0.0
SK,2021,12,wind,0.005263157894736842
SK,2022,1,ren,19.635483870967743
SK,2022,2,ren,22.239285714285717
SK,2022,3,ren,20.07741935483871
SK,2022,4,ren,23.63
SK,2022,5,ren,24.27741935483871
SK,2022,6,ren,20.976666666666667
SK,2022,7,ren,17.890322580645158
SK,2022,8,ren,16.15483870967742
SK,2022,9,ren,17.95
SK,2022,10,ren,19.39032258064516
SK,2022,11,ren,15.790000000000003
SK,2022,12,ren,18.029032258064515
SK,2022,1,solar,0.8064516129032259
SK,2022,2,solar,1.3464285714285713
SK,2022,3,solar,2.2516129032258063
SK,2022,4,solar,2.1166666666666663
SK,2022,5,solar,2.9548387096774196
SK,2022,6,solar,3.290000000000001
SK,2022,7,solar,3.1064516129032254
SK,2022,8,solar,2.8483870967741938
SK,2022,9,solar,2.1166666666666667
SK,2022,10,solar,1.632258064516129
SK,2022,11,solar,0.6499999999999999
SK,2022,12,solar,0.4387096774193549
SK,2022,1,wind,0.0
SK,2022,2,wind,0.0
SK,2022,3,wind,0.0
SK,2022,4,wind,0.0
SK,2022,5,wind,0.0
SK,2022,6,wind,0.0
SK,2022,7,wind,0.0
SK,2022,8,wind,0.0
SK,2022,9,wind,0.0
SK,2022,10,wind,0.0
SK,2022,11,wind,0.0
SK,2022,12,wind,0.003448275862068966
SK,2023,1,ren,19.770967741935483
SK,2023,2,ren,24.73214285714286
SK,2023,3,ren,25.54193548387097
SK,2023,4,ren,28.046666666666663
SK,2023,5,ren,33.11935483870969
SK,2023,6,ren,25.193333333333335
SK,2023,7,ren,21.770967741935483
SK,2023,8,ren,27.241935483870968
SK,2023,9,ren,20.21333333333333
SK,2023,10,ren,15.935483870967738
SK,2023,11,ren,25.546666666666667
SK,2023,12,ren,31.606451612903232
SK,2023,1,solar,0.5129032258064516
SK,2023,2,solar,1.239285714285714
SK,2023,3,solar,1.9387096774193548
SK,2023,4,solar,2.2733333333333334
SK,2023,5,solar,2.9935483870967743
SK,2023,6,solar,3.176666666666667
SK,2023,7,solar,3.2516129032258063
SK,2023,8,solar,2.883870967741936
SK,2023,9,solar,2.7333333333333334
SK,2023,10,solar,1.6064516129032258
SK,2023,11,solar,0.8700000000000002
SK,2023,12,solar,0.5225806451612903
SK,2023,1,wind,0.0
SK,2023,2,wind,0.0071428571428571435
SK,2023,3,wind,0.0
SK,2023,4,wind,0.0
SK,2023,5,wind,0.0032258064516129032
SK,2023,6,wind,0.0
SK,2023,7,wind,0.0
SK,2023,8,wind,0.0032258064516129032
SK,2023,9,wind,0.0
SK,2023,10,wind,0.005263157894736842
SK,2024,1,ren,30.290322580645164
SK,2024,2,ren,33.35172413793103
SK,2024,3,ren,27.02258064516129
SK,2024,4,ren,29.72666666666667
SK,2024,5,ren,27.93548387096774
