country,year,month,type,pct
UA,2021,1,ren,0.0
UA,2021,2,ren,0.0
UA,2021,3,ren,0.0
UA,2021,4,ren,0.0
UA,2021,5,ren,0.0
UA,2021,6,ren,0.0
UA,2021,7,ren,0.0
UA,2021,8,ren,0.0
UA,2021,9,ren,11.466666666666665
UA,2021,10,ren,12.906451612903224
UA,2021,11,ren,9.236666666666668
UA,2021,12,ren,6.903225806451612
UA,2021,1,solar,0.0
UA,2021,2,solar,0.0
UA,2021,3,solar,0.0
UA,2021,4,solar,0.0
UA,2021,5,solar,0.0
UA,2021,6,solar,0.0
UA,2021,7,solar,0.0
UA,2021,8,solar,0.0
UA,2021,9,solar,4.3566666666666665
UA,2021,10,solar,3.735483870967743
UA,2021,11,solar,1.6999999999999997
UA,2021,12,solar,0.4870967741935483
UA,2021,1,wind,0.0
UA,2021,2,wind,0.0
UA,2021,3,wind,0.0
UA,2021,4,wind,0.0
UA,2021,5,wind,0.0
UA,2021,6,wind,0.0
UA,2021,7,wind,0.0
UA,2021,8,wind,0.0
UA,2021,9,wind,2.896666666666667
UA,2021,10,wind,3.9096774193548396
UA,2021,11,wind,2.703333333333333
UA,2021,12,wind,2.9548387096774205
UA,2022,1,ren,8.696774193548388
UA,2022,2,ren,10.427999999999999
UA,2022,1,solar,1.1161290322580646
UA,2022,2,solar,2.224
UA,2022,1,wind,3.5419354838709687
UA,2022,2,wind,2.8679999999999994
