country,year,month,type,pct
XK,2021,7,ren,0.0
XK,2021,8,ren,0.6699999999999999
XK,2021,9,ren,1.0800000000000005
XK,2021,10,ren,0.9354838709677425
XK,2021,11,ren,0.7699999999999999
XK,2021,12,ren,1.1870967741935483
XK,2021,7,wind,0.0
XK,2021,8,wind,0.48999999999999994
XK,2021,9,wind,1.01
XK,2021,10,wind,0.7967741935483871
XK,2021,11,wind,0.6866666666666666
XK,2021,12,wind,1.0999999999999999
XK,2022,1,ren,1.264516129032258
XK,2022,2,ren,1.4714285714285715
XK,2022,3,ren,1.3129032258064517
XK,2022,4,ren,2.5966666666666662
XK,2022,5,ren,2.3741935483870966
XK,2022,6,ren,4.09
XK,2022,7,ren,5.532258064516129
XK,2022,8,ren,4.8096774193548395
XK,2022,9,ren,8.696666666666669
XK,2022,10,ren,5.174193548387098
XK,2022,11,ren,7.5
XK,2022,12,ren,7.174193548387097
XK,2022,1,wind,1.1580645161290324
XK,2022,2,wind,1.367857142857143
XK,2022,3,wind,1.193548387096774
XK,2022,4,wind,1.7899999999999998
XK,2022,5,wind,1.0612903225806454
XK,2022,6,wind,3.263333333333333
XK,2022,7,wind,5.532258064516129
XK,2022,8,wind,4.8096774193548395
XK,2022,9,wind,8.696666666666669
XK,2022,10,wind,5.174193548387098
XK,2022,11,wind,7.056666666666667
XK,2022,12,wind,5.5387096774193525
XK,2023,1,ren,5.354838709677419
XK,2023,2,ren,6.853571428571428
XK,2023,3,ren,6.0928571428571425
XK,2023,1,wind,4.770967741935483
XK,2023,2,wind,6.632142857142857
XK,2023,3,wind,5.696428571428571
