country,year,ren_share_avg,solar_share_avg,wind_share_avg,ee_installed_gw,solar_installed_gw,wind_installed_gw,total_installed_gw,ee_capacity_share
AT,2014,,,,6.13,0.59,2.12,15.14,40.4887714663144
AT,2015,,,,6.6499999999999995,0.72,2.5,15.23,43.66382140512147
AT,2016,,,,7.16,1.03,2.7,15.999999999999998,44.75000000000001
AT,2017,,,,7.549999999999999,1.19,2.89,16.41,46.00853138330286
AT,2018,,,,7.16,1.19,3.03,15.729999999999999,45.51811824539097
AT,2019,,,,7.4,1.33,3.13,15.239999999999997,48.556430446194234
AT,2020,,,,7.98,1.85,3.2,17.110000000000003,46.639392168322615
AT,2021,67.1860273972603,1.4030136986301371,11.032328767123289,8.95,2.5,3.5,18.009999999999998,49.69461410327596
AT,2022,65.11123287671232,1.6715068493150675,11.597534246575343,10.09,3.27,3.57,18.73,53.87079551521623
AT,2023,83.64630136986302,4.419178082191778,14.146301369863018,14.379999999999999,7.29,4.02,23.16,62.089810017271155
AT,2024,94.73633879781423,10.795081967213116,15.915846994535508,15.370000000000001,8.25,4.04,24.21,63.48616274266832
AT,2025,77.64164383561634,10.406849315068497,14.53479452054793,17.04,9.77,4.14,26.43,64.472190692395
BA,2016,,,,2.17,0.0,0.0,4.05,53.58024691358024
BA,2017,,,,2.2199999999999998,0.0,0.05,4.1,54.146341463414636
BA,2018,,,,2.26,0.0,0.09,4.14,54.589371980676326
BA,2019,,,,0.7999999999999999,0.0,0.09,3.1199999999999997,25.641025641025646
BA,2020,,,,0.85,0.0,0.14,3.17,26.813880126182966
BA,2021,55.044657534246525,,2.6586301369863015,1.5899999999999999,0.0,0.13,3.9199999999999995,40.56122448979592
BA,2022,37.899178082191746,,2.752054794520551,1.5899999999999999,0.0,0.13,3.9099999999999997,40.66496163682864
BA,2023,50.76821917808216,0.10547945205479456,1.3386301369863012,1.6199999999999999,0.03,0.13,3.9399999999999995,41.11675126903553
BA,2024,43.223480662983405,0.8900552486187849,1.646814404432134,2.01,0.24,0.31,4.33,46.420323325635096
BA,2025,40.96986301369865,1.703013698630138,1.7243835616438357,2.12,0.34,0.32,4.4399999999999995,47.74774774774775
BE,2014,,,,5.35,2.82,1.96,19.94,26.83049147442327
BE,2015,,,,5.5,2.95,1.96,19.75,27.848101265822784
BE,2016,,,,6.17,2.95,2.62,20.459999999999997,30.156402737047898
BE,2017,,,,6.71,2.95,3.16,21.09,31.81602655286866
BE,2018,,,,7.79,3.37,3.8,22.3,34.93273542600897
BE,2019,,,,9.21,3.89,4.67,23.89,38.55169526998745
BE,2020,,,,10.34,4.79,4.88,25.529999999999998,40.50137093615355
BE,2021,22.486027397260287,5.783835616438357,12.668219178082193,10.530000000000001,4.79,5.04,25.4,41.45669291338584
BE,2022,25.41150684931506,8.134520547945208,13.386575342465754,12.509999999999998,6.47,5.31,26.61,47.01240135287485
BE,2023,30.32164383561644,9.576712328767119,17.9758904109589,14.829999999999998,8.79,5.31,27.92,53.1160458452722
BE,2024,28.74234972677596,10.744808743169402,15.40054644808744,16.869999999999997,10.7,5.4399999999999995,31.389999999999997,53.743230328129975
BE,2025,31.101643835616454,13.255616438356169,15.33150684931506,18.38,11.68,5.85,31.71,57.962787764112264
BG,2014,,,,2.2300000000000004,0.28,0.36,11.299999999999999,19.734513274336287
BG,2015,,,,3.33,1.04,0.7,12.329999999999998,27.007299270073
BG,2016,,,,3.63,1.05,0.7,11.54,31.455805892547662
BG,2017,,,,3.63,1.05,0.7,11.959999999999999,30.351170568561876
BG,2018,,,,3.64,1.06,0.7,12.219999999999999,29.787234042553195
BG,2019,,,,3.66,1.08,0.7,12.239999999999998,29.90196078431373
BG,2020,,,,3.84,1.25,0.7,12.459999999999999,30.81861958266453
BG,2021,20.91616438356163,3.92164383561644,3.5561643835616428,4.3100000000000005,1.73,0.7,13.04,33.05214723926381
BG,2022,18.99863013698629,4.628219178082192,3.5975342465753397,5.67,3.09,0.7,13.799999999999999,41.08695652173913
BG,2023,22.801643835616424,9.256164383561638,4.13150684931507,7.16,4.57,0.71,15.309999999999999,46.76681907250163
BG,2024,26.840983606557383,14.341530054644819,3.6491803278688533,8.69,6.1,0.72,16.75,51.880597014925364
BG,2025,28.906575342465754,18.074794520547954,3.2857534246575333,9.41,6.82,0.72,17.47,53.863766456783054
CH,2005,,,,11.651000000000002,0.028,0.009,17.388999999999996,67.00212778193114
CH,2006,,,,11.656,0.03,0.012,17.404,66.97310962997012
CH,2007,,,,11.772,0.037,0.012,17.534,67.13813162997604
CH,2008,,,,11.795,0.049,0.012,17.566000000000006,67.14676078788567
CH,2009,,,,11.872000000000002,0.079,0.013,17.68,67.14932126696833
CH,2010,,,,11.984000000000002,0.125,0.018,17.938999999999997,66.80416968615867
CH,2011,,,,12.153,0.223,0.042,18.217,66.7124114837789
CH,2012,,,,12.402999999999999,0.437,0.045,18.444,67.24680112773801
CH,2013,,,,12.739999999999998,0.756,0.049,18.845,67.60413902892013
CH,2014,,,,12.971000000000002,1.061,0.06,19.163999999999998,67.6841995408057
CH,2015,,,,13.361,1.394,0.06,19.537999999999997,68.38468625243117
CH,2016,,,,13.884,1.664,0.06,20.823999999999998,66.67306953515175
CH,2017,,,,14.185999999999998,1.906,0.075,21.568999999999992,65.77031851268025
CH,2018,,,,14.604000000000001,2.173,0.075,22.007000000000005,66.36070341255054
CH,2019,,,,14.959,2.498,0.075,21.983,68.04803711959241
CH,2020,,,,15.445999999999998,2.973,0.087,22.482999999999997,68.70079615709648
CH,2021,63.375342465753405,5.007397260273975,0.22465753424657545,16.151,3.655,0.088,23.2,69.61637931034484
