country,year,trade_balance_twh
AT,2021,11.189962
AT,2022,11.70482125
AT,2023,2.2677685000000003
AT,2024,-4.455555
AT,2025,5.9317470000000005
BE,2021,-7.577899250000001
BE,2022,-5.802014
BE,2023,3.24232275
BE,2024,10.658440293715847
BE,2025,14.14783875
BA,2021,-4.783354999999999
BA,2022,-3.082967
BA,2023,-4.230857
BA,2024,-2.5102954781420768
BA,2025,-2.323039
BG,2021,-8.560151
BG,2022,-11.908638000000002
BG,2023,-3.578766
BG,2024,-0.9396456284153006
BG,2025,-1.24260175
HR,2021,4.339393
HR,2022,5.280684
HR,2023,2.2128899999999994
HR,2024,4.990343077185792
HR,2025,5.7707317499999995
CZ,2021,-11.390483
CZ,2022,-14.321297000000001
CZ,2023,-9.189373999999999
CZ,2024,-4.1940167930327865
CZ,2025,-7.552667499999999
DK,2021,1.679868
DK,2022,-1.376647
DK,2023,-0.663532
DK,2024,-0.3762581557377049
DK,2025,4.1037735
EE,2021,2.572517
EE,2022,0.844456
EE,2023,3.309786
EE,2024,2.9617114719945357
EE,2025,2.830578
FI,2021,10.509838
FI,2022,11.112375
FI,2023,2.972775
FI,2024,4.279577131147541
FI,2025,6.53328475
FR,2021,-44.2560545
FR,2022,16.471228
FR,2023,-50.27497
FR,2024,-88.82606541666665
FR,2025,-92.49080174999999
DE,2021,-17.8001375
DE,2022,-26.84550375
DE,2023,11.7339745
DE,2024,28.262017315573768
DE,2025,21.953394499999998
GR,2021,3.642938
GR,2022,3.551558
GR,2023,5.506756
GR,2024,0.18841379781420764
GR,2025,-2.6233445
HU,2021,12.835433499999999
HU,2022,12.346572
HU,2023,11.557193999999999
HU,2024,11.109606721311474
HU,2025,9.4812765
IE,2021,0.472135
IE,2022,-0.6597955189536151
IE,2023,1.630590280886047
IE,2024,2.6826133591878634
IE,2025,4.506543
IT,2021,43.665383999999996
IT,2022,43.354859
IT,2023,51.680856
IT,2024,52.08285923497268
IT,2025,48.94980725
XK,2021,0.22139654191616764
XK,2022,-0.025581
XK,2023,0.8395739999999999
XK,2024,0.5952172677595627
XK,2025,1.569441
LV,2021,1.874384
LV,2022,2.305396
LV,2023,0.874312
LV,2024,1.1086899931693988
LV,2025,1.40718725
LT,2021,9.057379999999998
LT,2022,8.684610000000001
LT,2023,7.169708
LT,2024,5.672312916666668
LT,2025,3.65630575
LU,2021,3.938896
LU,2022,3.8888730000000002
LU,2023,3.559791
LU,2024,3.533810327868853
LU,2025,3.4857894999999997
MD,2021,0.17692547115504942
MD,2022,1.107570612244898
MD,2023,0.13669900000000001
MD,2024,0.31775743169398907
MD,2025,2.966427
ME,2021,0.609414
ME,2022,0.357635
ME,2023,-0.067304
ME,2024,0.43024225409836064
ME,2025,1.014816
NL,2021,0.548473
NL,2022,-4.482609499999999
NL,2023,-5.6387955000000005
NL,2024,-3.747782103825137
NL,2025,-13.56696775
MK,2021,2.302734
MK,2022,1.352467
MK,2023,0.14325
MK,2024,0.7008847677595628
MK,2025,0.92964
NO,2021,-18.347333
NO,2022,-12.977136
NO,2023,-19.895436999999998
NO,2024,-20.44210523224044
NO,2025,-23.735118
PL,2021,1.012162
PL,2022,-1.09507
PL,2023,4.059399
PL,2024,2.4700986065573773
PL,2025,1.0214455
PT,2021,4.512104
PT,2022,9.221287000000002
PT,2023,9.899645
PT,2024,10.897007185792349
PT,2025,9.54522075
RO,2021,2.0312505
RO,2022,1.0353602499999999
RO,2023,-3.0619785000000004
RO,2024,2.9857029918032785
RO,2025,3.755738
RS,2021,0.661212
RS,2022,2.813011
RS,2023,-2.1327779999999996
RS,2024,0.5561881967213116
RS,2025,1.885536
SK,2021,0.6838630000000001
SK,2022,1.143051
SK,2023,-3.4816309999999997
SK,2024,-5.162987827868852
SK,2025,-2.25979725
SI,2021,-0.256349
SI,2022,1.4621695
SI,2023,-1.4976524999999998
SI,2024,-2.406541734972678
SI,2025,-0.452762
ES,2021,1.742315
ES,2022,-18.485592
ES,2023,-11.771269
ES,2024,-8.108969644808743
ES,2025,-9.31062425
SE,2021,-26.812437
SE,2022,-33.415055
SE,2023,-28.880675
SE,2024,-33.05750050546449
SE,2025,-35.0254375
CH,2021,3.939419
CH,2022,4.924100999999999
CH,2023,-5.301965
CH,2024,-14.07025036885246
CH,2025,-0.31683575
UA,2021,-1.793704
UA,2022,-1.084174826654131
UA,2023,0.447141661851381
UA,2024,4.064515284738041
UA,2025,1.217002
GB,2021,23.781812000000002
GB,2022,-5.694086
GB,2023,24.196623
GB,2024,34.18063243169399
GB,2025,30.257365
